ligand,E1,E2,E3
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.4,-4.4,-4.4
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-8.5,-7.9,-8.8
VVNCNSJFMMFHPL-VKHMYHEASA-N,-4.7,-4.1,-4.3
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.1,-6.7,-6.8
FDQGNLOWMMVRQL-UHFFFAOYSA-N,-6.0,-5.7,-6.3
NGXUUAFYUCOICP-UHFFFAOYSA-N,-5.4,-5.2,-6.3
GLUUGHFHXGJENI-UHFFFAOYSA-N,-3.5,-3.2,-3.5
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.2,-5.4,-5.8
MQOBSOSZFYZQOK-UHFFFAOYSA-N,-7.5,-7.4,-8.5
RARQHAFNGNPQCZ-UHFFFAOYSA-N,-7.0,-7.4,-7.7
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-7.8,-6.9,-7.6
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-6.6,-6.3,-6.6
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-5.8,-6.2,-6.1
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-4.7,-4.7,-5.0
RIKMMFOAQPJVMX-UHFFFAOYSA-N,-4.0,-3.8,-3.9
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-5.4,-6.0,-5.5
GPTONYMQFTZPKC-UHFFFAOYSA-N,-7.3,-7.4,-7.5
XSQUKJJJFZCRTK-UHFFFAOYSA-N,-3.0,-2.9,-2.9
JVTAAEKCZFNVCJ-UWTATZPHSA-N,-4.0,-3.7,-3.7
JNMWHTHYDQTDQZ-UHFFFAOYSA-N,-1.8,-1.8,-1.8
BTCSSZJGUNDROE-UHFFFAOYSA-N,-3.9,-4.4,-4.1
FFEARJCKVFRZRR-BYPYZUCNSA-N,-4.0,-4.4,-4.2
KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.9,-2.8,-2.9
KNHUKKLJHYUCFP-UHFFFAOYSA-N,-5.4,-5.9,-6.1
AEMRFAOFKBGASW-UHFFFAOYSA-N,-3.3,-3.3,-3.2
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.6,-5.4,-6.0
YJBIJSVYPHRVCI-UHFFFAOYSA-N,-7.1,-7.6,-8.3
PHTMLLGDZBZXMW-AERCQKQUSA-N,-7.0,-7.0,-7.6
RRUDCFGSUDOHDG-UHFFFAOYSA-N,-3.8,-3.6,-3.6
VJOVAKSZILJDBB-UHFFFAOYSA-N,-4.1,-4.0,-4.7
KJHOZAZQWVKILO-UHFFFAOYSA-N,-5.9,-5.9,-6.1
YQGDEPYYFWUPGO-VKHMYHEASA-N,-3.9,-4.3,-4.0
HJXMNVQARNZTEE-NSHDSACASA-N,-5.9,-6.2,-6.8
FVIGODVHAVLZOO-UHFFFAOYSA-N,-3.8,-4.3,-4.2
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.2,-5.8,-5.8
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-6.8,-7.1,-7.4
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.4,-4.8,-4.9
SLWGJZPKHAXZQL-UHFFFAOYSA-N,-5.2,-4.4,-4.8
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.0,-4.3,-4.6
JIVZKJJQOZQXQB-UHFFFAOYSA-N,-6.1,-5.8,-6.1
PJSFRIWCGOHTNF-UHFFFAOYSA-N,-6.6,-6.8,-7.7
HZTMGWSBSDLALI-UHFFFAOYSA-N,-6.5,-6.6,-6.9
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-7.0,-6.8,-8.2
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.7,-4.7,-4.7
GHOKWGTUZJEAQD-ZETCQYMHSA-N,-6.2,-5.7,-5.8
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.6,-4.2,-4.1
VTHJTEIRLNZDEV-UHFFFAOYSA-L,-3.0,-2.8,-2.8
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-7.8,-7.3,-7.8
