ligand,E1,E2,E3
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-6.9,-6.8,-6.4
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-6.3,-6.2,-5.9
GLUUGHFHXGJENI-UHFFFAOYSA-N,-3.4,-3.2,-3.2
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.1,-4.2,-3.8
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.2,-5.0,-4.5
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.1,-4.2,-4.1
AEMRFAOFKBGASW-UHFFFAOYSA-N,-3.1,-3.5,-3.5
FVIGODVHAVLZOO-UHFFFAOYSA-N,-4.4,-3.7,-3.5
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-4.8,-5.5,-5.4
KNHUKKLJHYUCFP-UHFFFAOYSA-N,-5.9,-5.9,-4.7
VJOVAKSZILJDBB-UHFFFAOYSA-N,-3.8,-3.8,-3.4
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.8,-4.6,-4.2
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-6.7,-5.9,-5.3
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.6,-6.0,-5.8
FFEARJCKVFRZRR-BYPYZUCNSA-N,-4.0,-4.1,-3.9
PHTMLLGDZBZXMW-AERCQKQUSA-N,-8.2,-7.3,-6.0
JIVZKJJQOZQXQB-UHFFFAOYSA-N,-6.2,-5.3,-5.0
KFZMGEQAYNKOFK-UHFFFAOYSA-N,-3.1,-2.9,-2.6
FDQGNLOWMMVRQL-UHFFFAOYSA-N,-5.3,-5.8,-5.2
NGXUUAFYUCOICP-UHFFFAOYSA-N,-5.0,-5.1,-4.6
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.8,-4.6,-4.2
HZTMGWSBSDLALI-UHFFFAOYSA-N,-6.4,-6.9,-5.6
MQOBSOSZFYZQOK-UHFFFAOYSA-N,-8.0,-7.9,-6.5
JVTAAEKCZFNVCJ-UWTATZPHSA-N,-3.7,-3.9,-3.7
BTCSSZJGUNDROE-UHFFFAOYSA-N,-4.2,-3.9,-3.6
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.6,-5.2,-5.5
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-5.1,-4.7,-4.2
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.5,-4.0,-4.1
KJHOZAZQWVKILO-UHFFFAOYSA-N,-5.6,-5.8,-6.1
HJXMNVQARNZTEE-NSHDSACASA-N,-6.9,-5.8,-5.4
VTHJTEIRLNZDEV-UHFFFAOYSA-L,-2.3,-2.9,-2.9
YQGDEPYYFWUPGO-VKHMYHEASA-N,-3.9,-4.3,-3.6
RRUDCFGSUDOHDG-UHFFFAOYSA-N,-3.4,-3.5,-3.8
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.5,-6.0,-4.8
GPTONYMQFTZPKC-UHFFFAOYSA-N,-6.4,-6.7,-6.3
XSQUKJJJFZCRTK-UHFFFAOYSA-N,-2.7,-3.2,-3.1
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-8.0,-7.5,-6.2
RIKMMFOAQPJVMX-UHFFFAOYSA-N,-4.1,-4.0,-3.6
GHOKWGTUZJEAQD-ZETCQYMHSA-N,-5.8,-5.2,-4.8
YJBIJSVYPHRVCI-UHFFFAOYSA-N,-7.4,-7.1,-6.2
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-5.5,-5.8,-5.5
VVNCNSJFMMFHPL-VKHMYHEASA-N,-4.5,-4.4,-4.0
SLWGJZPKHAXZQL-UHFFFAOYSA-N,-5.0,-4.7,-4.4
PJSFRIWCGOHTNF-UHFFFAOYSA-N,-6.3,-6.5,-6.4
RARQHAFNGNPQCZ-UHFFFAOYSA-N,-7.2,-7.4,-5.4
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-8.9,-8.8,-6.8
JNMWHTHYDQTDQZ-UHFFFAOYSA-N,-1.8,-1.6,-1.5
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-8.2,-7.7,-6.0
