ligand,E1,E2,E3
YQGDEPYYFWUPGO-VKHMYHEASA-N,-3.8,-3.8,-4.2
JVTAAEKCZFNVCJ-UWTATZPHSA-N,-3.5,-3.3,-3.5
FFEARJCKVFRZRR-BYPYZUCNSA-N,-3.7,-3.7,-3.9
SLWGJZPKHAXZQL-UHFFFAOYSA-N,-4.1,-4.2,-3.6
RIKMMFOAQPJVMX-UHFFFAOYSA-N,-2.9,-3.5,-3.0
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-6.4,-5.9,-5.7
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-6.2,-5.9,-5.9
KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.4,-2.7,-2.7
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-4.9,-4.2,-3.8
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-5.9,-6.0,-5.3
RATGSRSDPNECNO-QMMMGPOBSA-N,-4.4,-4.9,-4.3
JIVZKJJQOZQXQB-UHFFFAOYSA-N,-4.6,-5.4,-4.3
HZTMGWSBSDLALI-UHFFFAOYSA-N,-5.4,-5.3,-4.7
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.2,-5.4,-4.5
KNHUKKLJHYUCFP-UHFFFAOYSA-N,-4.9,-5.4,-4.7
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-7.2,-7.1,-7.2
JNMWHTHYDQTDQZ-UHFFFAOYSA-N,-1.5,-1.7,-1.3
RARQHAFNGNPQCZ-UHFFFAOYSA-N,-5.5,-5.8,-5.3
VJOVAKSZILJDBB-UHFFFAOYSA-N,-3.4,-3.7,-2.9
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-6.5,-5.5,-4.9
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.0,-4.3,-4.0
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-3.7,-3.3,-3.8
PJSFRIWCGOHTNF-UHFFFAOYSA-N,-5.9,-5.6,-5.8
XSQUKJJJFZCRTK-UHFFFAOYSA-N,-2.7,-2.6,-3.0
YJBIJSVYPHRVCI-UHFFFAOYSA-N,-6.0,-6.1,-5.8
RRUDCFGSUDOHDG-UHFFFAOYSA-N,-3.3,-3.1,-3.3
AEMRFAOFKBGASW-UHFFFAOYSA-N,-3.1,-3.0,-3.2
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.1,-4.4,-4.1
GPTONYMQFTZPKC-UHFFFAOYSA-N,-5.9,-5.8,-5.9
KJHOZAZQWVKILO-UHFFFAOYSA-N,-5.7,-5.6,-5.2
RMUCZJUITONUFY-UHFFFAOYSA-N,-4.4,-5.3,-4.4
FDQGNLOWMMVRQL-UHFFFAOYSA-N,-5.1,-4.9,-4.2
FVIGODVHAVLZOO-UHFFFAOYSA-N,-3.5,-3.7,-3.5
HJXMNVQARNZTEE-NSHDSACASA-N,-4.9,-5.9,-4.5
VTHJTEIRLNZDEV-UHFFFAOYSA-L,-3.0,-2.4,-2.8
JZWFDVDETGFGFC-UHFFFAOYSA-N,-5.3,-5.7,-4.8
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-4.3,-4.8,-4.1
PHTMLLGDZBZXMW-AERCQKQUSA-N,-6.0,-6.3,-5.4
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.0,-3.9,-3.8
BTCSSZJGUNDROE-UHFFFAOYSA-N,-3.4,-3.8,-4.0
MQOBSOSZFYZQOK-UHFFFAOYSA-N,-6.3,-7.2,-6.2
GLUUGHFHXGJENI-UHFFFAOYSA-N,-2.8,-2.9,-3.3
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-5.8,-7.0,-5.6
GHOKWGTUZJEAQD-ZETCQYMHSA-N,-4.7,-5.2,-4.7
VVNCNSJFMMFHPL-VKHMYHEASA-N,-4.0,-3.4,-3.8
NGXUUAFYUCOICP-UHFFFAOYSA-N,-4.9,-4.8,-4.2
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-5.1,-6.1,-5.0
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-3.8,-4.4,-3.9
