ligand,E1,E2,E3
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.8,-5.9,-5.3
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-5.6,-4.9,-5.1
XSQUKJJJFZCRTK-UHFFFAOYSA-N,-3.0,-3.0,-3.4
VJOVAKSZILJDBB-UHFFFAOYSA-N,-4.2,-4.0,-3.2
VVNCNSJFMMFHPL-VKHMYHEASA-N,-4.4,-4.0,-3.5
RRUDCFGSUDOHDG-UHFFFAOYSA-N,-3.6,-3.5,-4.1
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.1,-3.5,-3.0
VTHJTEIRLNZDEV-UHFFFAOYSA-L,-2.7,-2.2,-2.9
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.8,-5.6,-5.0
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-6.8,-5.5,-6.3
YJBIJSVYPHRVCI-UHFFFAOYSA-N,-8.4,-6.8,-5.6
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-7.8,-6.4,-5.8
JIVZKJJQOZQXQB-UHFFFAOYSA-N,-6.2,-4.8,-4.7
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-4.8,-5.2,-4.7
FDQGNLOWMMVRQL-UHFFFAOYSA-N,-6.9,-4.4,-4.6
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.5,-4.2,-4.5
FFEARJCKVFRZRR-BYPYZUCNSA-N,-4.3,-4.3,-4.4
NGXUUAFYUCOICP-UHFFFAOYSA-N,-6.3,-5.4,-4.4
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-7.2,-6.1,-5.9
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-7.9,-6.8,-5.9
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-6.6,-6.3,-5.0
MQOBSOSZFYZQOK-UHFFFAOYSA-N,-8.7,-6.6,-6.0
JVTAAEKCZFNVCJ-UWTATZPHSA-N,-3.7,-3.9,-4.3
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.7,-4.5,-4.3
HZTMGWSBSDLALI-UHFFFAOYSA-N,-7.0,-5.6,-5.2
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.4,-4.7,-4.3
SLWGJZPKHAXZQL-UHFFFAOYSA-N,-5.0,-4.1,-4.1
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.9,-4.4,-4.5
FVIGODVHAVLZOO-UHFFFAOYSA-N,-4.4,-3.8,-3.4
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.1,-5.2,-4.7
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-7.8,-5.7,-5.8
KJHOZAZQWVKILO-UHFFFAOYSA-N,-6.3,-5.2,-5.9
YQGDEPYYFWUPGO-VKHMYHEASA-N,-4.0,-4.4,-4.3
GLUUGHFHXGJENI-UHFFFAOYSA-N,-3.6,-3.4,-3.2
BTCSSZJGUNDROE-UHFFFAOYSA-N,-4.1,-4.1,-4.1
KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.9,-2.8,-3.1
GPTONYMQFTZPKC-UHFFFAOYSA-N,-7.6,-6.9,-5.6
RIKMMFOAQPJVMX-UHFFFAOYSA-N,-3.9,-3.8,-4.0
JNMWHTHYDQTDQZ-UHFFFAOYSA-N,-1.8,-1.8,-1.7
PHTMLLGDZBZXMW-AERCQKQUSA-N,-8.1,-6.6,-5.8
AEMRFAOFKBGASW-UHFFFAOYSA-N,-3.2,-3.4,-3.8
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.7,-4.9,-4.3
GHOKWGTUZJEAQD-ZETCQYMHSA-N,-5.8,-5.0,-4.7
KNHUKKLJHYUCFP-UHFFFAOYSA-N,-6.2,-5.0,-5.0
RARQHAFNGNPQCZ-UHFFFAOYSA-N,-8.0,-6.4,-5.5
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-9.7,-7.4,-7.3
HJXMNVQARNZTEE-NSHDSACASA-N,-6.7,-5.9,-5.0
PJSFRIWCGOHTNF-UHFFFAOYSA-N,-7.7,-6.3,-5.8
