ligand,E1,E2,E3
BTCSSZJGUNDROE-UHFFFAOYSA-N,-3.9,-4.4,-4.1
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.6,-5.3,-6.0
GHOKWGTUZJEAQD-ZETCQYMHSA-N,-5.6,-6.0,-5.5
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-7.5,-7.3,-7.8
FVIGODVHAVLZOO-UHFFFAOYSA-N,-4.3,-4.4,-4.2
YQGDEPYYFWUPGO-VKHMYHEASA-N,-3.9,-4.3,-4.0
RIKMMFOAQPJVMX-UHFFFAOYSA-N,-4.1,-3.8,-3.9
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-6.7,-7.1,-7.5
MQOBSOSZFYZQOK-UHFFFAOYSA-N,-7.3,-7.7,-8.4
NGXUUAFYUCOICP-UHFFFAOYSA-N,-5.4,-5.2,-6.3
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.6,-4.1,-4.1
JIVZKJJQOZQXQB-UHFFFAOYSA-N,-6.1,-5.7,-6.1
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-7.0,-7.4,-8.2
KJHOZAZQWVKILO-UHFFFAOYSA-N,-5.9,-5.9,-6.1
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-7.7,-7.1,-7.3
JNMWHTHYDQTDQZ-UHFFFAOYSA-N,-1.8,-1.8,-1.8
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-4.5,-4.7,-5.0
HZTMGWSBSDLALI-UHFFFAOYSA-N,-6.6,-6.6,-6.9
KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.9,-2.9,-3.0
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.6,-4.4,-4.5
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.0,-5.4,-5.8
HJXMNVQARNZTEE-NSHDSACASA-N,-5.9,-6.2,-6.8
RARQHAFNGNPQCZ-UHFFFAOYSA-N,-6.8,-7.4,-7.8
PJSFRIWCGOHTNF-UHFFFAOYSA-N,-6.4,-6.6,-7.7
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.3,-6.7,-6.8
PHTMLLGDZBZXMW-AERCQKQUSA-N,-7.0,-6.9,-7.6
GLUUGHFHXGJENI-UHFFFAOYSA-N,-3.5,-3.2,-3.5
VJOVAKSZILJDBB-UHFFFAOYSA-N,-4.1,-3.9,-4.7
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-5.4,-5.5,-5.6
YJBIJSVYPHRVCI-UHFFFAOYSA-N,-7.9,-7.4,-8.2
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.3,-4.8,-4.9
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.0,-4.4,-4.6
FFEARJCKVFRZRR-BYPYZUCNSA-N,-4.0,-4.2,-4.2
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-8.3,-7.9,-8.7
JVTAAEKCZFNVCJ-UWTATZPHSA-N,-4.0,-3.8,-3.7
XSQUKJJJFZCRTK-UHFFFAOYSA-N,-3.0,-2.9,-2.9
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-6.6,-6.3,-6.0
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.2,-5.2,-5.6
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-5.7,-6.2,-6.4
VTHJTEIRLNZDEV-UHFFFAOYSA-L,-3.0,-2.8,-2.8
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.7,-4.7,-4.7
KNHUKKLJHYUCFP-UHFFFAOYSA-N,-5.9,-6.0,-6.4
RRUDCFGSUDOHDG-UHFFFAOYSA-N,-3.8,-3.6,-3.6
GPTONYMQFTZPKC-UHFFFAOYSA-N,-7.3,-7.4,-7.5
VVNCNSJFMMFHPL-VKHMYHEASA-N,-4.3,-4.1,-4.3
AEMRFAOFKBGASW-UHFFFAOYSA-N,-3.4,-3.3,-3.2
SLWGJZPKHAXZQL-UHFFFAOYSA-N,-4.5,-4.7,-4.8
FDQGNLOWMMVRQL-UHFFFAOYSA-N,-6.0,-5.7,-6.3
