ligand,E1,E2,E3
MQOBSOSZFYZQOK-UHFFFAOYSA-N,-6.0,-6.4,-6.2
LTINPJMVDKPJJI-PBXRRBTRSA-N,-3.7,-3.8,-3.9
XSQUKJJJFZCRTK-UHFFFAOYSA-N,-2.5,-2.6,-2.7
FFEARJCKVFRZRR-BYPYZUCNSA-N,-3.5,-3.5,-3.5
JZWFDVDETGFGFC-UHFFFAOYSA-N,-5.5,-5.5,-5.0
VVNCNSJFMMFHPL-VKHMYHEASA-N,-3.3,-3.5,-3.4
AEMRFAOFKBGASW-UHFFFAOYSA-N,-2.9,-3.0,-2.9
GPTONYMQFTZPKC-UHFFFAOYSA-N,-5.3,-5.6,-5.5
RRUDCFGSUDOHDG-UHFFFAOYSA-N,-3.0,-3.2,-3.1
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-3.8,-3.9,-4.0
SLWGJZPKHAXZQL-UHFFFAOYSA-N,-4.1,-4.0,-4.2
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-6.1,-6.7,-6.6
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-5.5,-5.5,-5.9
KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.4,-2.7,-2.3
FVIGODVHAVLZOO-UHFFFAOYSA-N,-3.2,-3.5,-3.1
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-3.7,-4.0,-3.6
FDQGNLOWMMVRQL-UHFFFAOYSA-N,-4.3,-4.6,-4.5
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-5.4,-5.6,-6.0
HZTMGWSBSDLALI-UHFFFAOYSA-N,-4.8,-4.9,-5.8
BTCSSZJGUNDROE-UHFFFAOYSA-N,-3.3,-3.6,-3.4
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-3.4,-3.8,-3.7
VTHJTEIRLNZDEV-UHFFFAOYSA-L,-2.6,-2.8,-2.6
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-3.8,-4.2,-4.0
RATGSRSDPNECNO-QMMMGPOBSA-N,-4.1,-4.4,-4.4
KJHOZAZQWVKILO-UHFFFAOYSA-N,-5.2,-5.2,-4.4
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-5.2,-5.8,-5.5
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-5.5,-5.9,-5.6
PJSFRIWCGOHTNF-UHFFFAOYSA-N,-4.9,-5.5,-5.4
GLUUGHFHXGJENI-UHFFFAOYSA-N,-2.7,-3.0,-2.6
YQNFBOJPTAXAKV-OMCISZLKSA-N,-4.5,-4.8,-5.1
VJOVAKSZILJDBB-UHFFFAOYSA-N,-3.3,-3.3,-3.2
YQGDEPYYFWUPGO-VKHMYHEASA-N,-3.5,-3.8,-3.5
YJBIJSVYPHRVCI-UHFFFAOYSA-N,-5.6,-6.1,-5.8
HJXMNVQARNZTEE-NSHDSACASA-N,-5.4,-5.3,-5.1
RARQHAFNGNPQCZ-UHFFFAOYSA-N,-5.2,-5.8,-5.5
JNMWHTHYDQTDQZ-UHFFFAOYSA-N,-1.5,-1.5,-1.3
PHTMLLGDZBZXMW-AERCQKQUSA-N,-6.2,-5.6,-6.1
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-4.7,-5.3,-5.4
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-4.1,-4.6,-4.5
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-4.3,-5.2,-5.0
NGXUUAFYUCOICP-UHFFFAOYSA-N,-4.1,-4.4,-4.4
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-3.4,-3.6,-3.2
KNHUKKLJHYUCFP-UHFFFAOYSA-N,-4.5,-4.5,-4.8
RIKMMFOAQPJVMX-UHFFFAOYSA-N,-3.1,-3.4,-3.3
JVTAAEKCZFNVCJ-UWTATZPHSA-N,-3.1,-3.4,-3.2
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.0,-4.7,-5.0
JIVZKJJQOZQXQB-UHFFFAOYSA-N,-5.4,-4.6,-4.8
GHOKWGTUZJEAQD-ZETCQYMHSA-N,-4.6,-4.4,-4.7
