ligand,E1,E2,E3
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-8.1,-6.6,-7.9
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-5.0,-4.8,-4.7
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.7,-4.2,-4.7
VJOVAKSZILJDBB-UHFFFAOYSA-N,-4.0,-3.1,-4.1
PHTMLLGDZBZXMW-AERCQKQUSA-N,-7.6,-5.6,-6.6
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-6.4,-5.7,-5.8
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-7.3,-5.8,-7.0
VVNCNSJFMMFHPL-VKHMYHEASA-N,-4.7,-3.9,-4.5
XSQUKJJJFZCRTK-UHFFFAOYSA-N,-3.0,-3.2,-3.5
YQNFBOJPTAXAKV-OMCISZLKSA-N,-6.2,-5.2,-6.0
JVTAAEKCZFNVCJ-UWTATZPHSA-N,-4.1,-3.6,-4.4
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.7,-4.5,-6.0
RARQHAFNGNPQCZ-UHFFFAOYSA-N,-7.3,-5.2,-6.9
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.1,-5.5,-6.4
FFEARJCKVFRZRR-BYPYZUCNSA-N,-4.3,-4.2,-4.5
KNHUKKLJHYUCFP-UHFFFAOYSA-N,-6.3,-5.2,-5.5
YJBIJSVYPHRVCI-UHFFFAOYSA-N,-8.0,-5.8,-7.3
FDQGNLOWMMVRQL-UHFFFAOYSA-N,-5.9,-4.8,-5.3
HJXMNVQARNZTEE-NSHDSACASA-N,-6.7,-4.8,-5.9
MQOBSOSZFYZQOK-UHFFFAOYSA-N,-7.9,-6.2,-8.3
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-6.2,-4.8,-6.5
SLWGJZPKHAXZQL-UHFFFAOYSA-N,-5.0,-3.7,-4.6
RIKMMFOAQPJVMX-UHFFFAOYSA-N,-3.9,-4.1,-3.8
AEMRFAOFKBGASW-UHFFFAOYSA-N,-3.5,-3.9,-4.0
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-6.3,-6.0,-7.4
LTINPJMVDKPJJI-PBXRRBTRSA-N,-5.0,-4.0,-4.8
KJHOZAZQWVKILO-UHFFFAOYSA-N,-6.2,-5.4,-6.9
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-7.6,-6.8,-6.6
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.5,-4.7,-5.1
NGXUUAFYUCOICP-UHFFFAOYSA-N,-5.6,-4.4,-5.8
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.5,-3.9,-4.2
FVIGODVHAVLZOO-UHFFFAOYSA-N,-4.4,-3.4,-3.9
KFZMGEQAYNKOFK-UHFFFAOYSA-N,-3.0,-2.8,-2.8
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.5,-4.2,-4.4
JIVZKJJQOZQXQB-UHFFFAOYSA-N,-5.7,-4.5,-5.5
RRUDCFGSUDOHDG-UHFFFAOYSA-N,-3.7,-3.9,-3.9
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.9,-4.2,-4.6
GPTONYMQFTZPKC-UHFFFAOYSA-N,-7.3,-5.6,-7.1
VTHJTEIRLNZDEV-UHFFFAOYSA-L,-3.0,-3.5,-3.4
PJSFRIWCGOHTNF-UHFFFAOYSA-N,-7.7,-5.7,-7.1
YQGDEPYYFWUPGO-VKHMYHEASA-N,-4.4,-4.1,-4.7
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-7.3,-5.9,-7.2
GLUUGHFHXGJENI-UHFFFAOYSA-N,-3.5,-3.2,-3.7
HZTMGWSBSDLALI-UHFFFAOYSA-N,-6.9,-5.3,-6.5
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-7.2,-5.4,-7.1
JNMWHTHYDQTDQZ-UHFFFAOYSA-N,-1.8,-1.6,-1.7
GHOKWGTUZJEAQD-ZETCQYMHSA-N,-5.5,-4.5,-6.1
BTCSSZJGUNDROE-UHFFFAOYSA-N,-4.2,-3.7,-4.0
