ligand,E1,E2,E3
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-6.5,-6.5,-6.5
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-6.7,-6.7,-6.7
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-5.5,-5.5,-5.5
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-6.3,-6.2,-6.3
KJHOZAZQWVKILO-UHFFFAOYSA-N,-5.6,-5.6,-5.6
FFEARJCKVFRZRR-BYPYZUCNSA-N,-4.0,-4.1,-4.0
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-8.6,-8.5,-8.5
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-6.6,-6.7,-6.6
JVTAAEKCZFNVCJ-UWTATZPHSA-N,-3.6,-3.6,-3.6
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-7.0,-7.1,-7.0
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-7.4,-7.5,-7.4
SLWGJZPKHAXZQL-UHFFFAOYSA-N,-4.5,-4.6,-4.4
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.0,-4.0,-4.1
BTCSSZJGUNDROE-UHFFFAOYSA-N,-3.7,-3.7,-3.8
YQGDEPYYFWUPGO-VKHMYHEASA-N,-3.8,-3.8,-3.8
JNMWHTHYDQTDQZ-UHFFFAOYSA-N,-1.6,-1.5,-1.6
GPTONYMQFTZPKC-UHFFFAOYSA-N,-6.4,-6.5,-6.4
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.0,-5.0,-5.1
FDQGNLOWMMVRQL-UHFFFAOYSA-N,-6.0,-6.0,-6.0
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.5,-5.5,-5.5
FVIGODVHAVLZOO-UHFFFAOYSA-N,-3.8,-3.8,-3.9
GLUUGHFHXGJENI-UHFFFAOYSA-N,-3.2,-3.2,-3.2
GHOKWGTUZJEAQD-ZETCQYMHSA-N,-5.7,-5.4,-5.5
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.6,-4.6,-4.6
VJOVAKSZILJDBB-UHFFFAOYSA-N,-3.7,-3.8,-3.8
KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.6,-2.6,-2.6
PJSFRIWCGOHTNF-UHFFFAOYSA-N,-6.6,-6.7,-6.6
AEMRFAOFKBGASW-UHFFFAOYSA-N,-3.2,-3.2,-3.2
JIVZKJJQOZQXQB-UHFFFAOYSA-N,-5.0,-5.1,-5.0
MQOBSOSZFYZQOK-UHFFFAOYSA-N,-6.7,-6.9,-6.8
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.4,-4.3,-4.2
RRUDCFGSUDOHDG-UHFFFAOYSA-N,-3.5,-3.5,-3.5
XSQUKJJJFZCRTK-UHFFFAOYSA-N,-2.9,-2.9,-2.9
YJBIJSVYPHRVCI-UHFFFAOYSA-N,-6.6,-6.6,-6.7
KNHUKKLJHYUCFP-UHFFFAOYSA-N,-5.5,-5.5,-5.4
PHTMLLGDZBZXMW-AERCQKQUSA-N,-5.7,-5.9,-6.3
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.4,-4.4,-4.4
JZWFDVDETGFGFC-UHFFFAOYSA-N,-5.9,-6.0,-6.0
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-4.7,-4.6,-4.7
VTHJTEIRLNZDEV-UHFFFAOYSA-L,-2.9,-2.9,-2.8
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.3,-4.4,-4.3
NGXUUAFYUCOICP-UHFFFAOYSA-N,-5.1,-5.2,-5.1
RARQHAFNGNPQCZ-UHFFFAOYSA-N,-6.6,-6.5,-6.6
HJXMNVQARNZTEE-NSHDSACASA-N,-5.8,-5.8,-5.8
RATGSRSDPNECNO-QMMMGPOBSA-N,-5.5,-5.5,-5.5
VVNCNSJFMMFHPL-VKHMYHEASA-N,-4.2,-4.2,-4.2
HZTMGWSBSDLALI-UHFFFAOYSA-N,-5.7,-5.7,-5.9
RIKMMFOAQPJVMX-UHFFFAOYSA-N,-3.5,-3.5,-3.5
