ligand,E1,E2,E3
GUTZRTRUIMWMJZ-SSDOTTSWSA-N,-7.1,-7.1,-8.0
OSCTXCOERRNGLW-UHFFFAOYSA-N,-6.4,-6.3,-6.6
QXKHYNVANLEOEG-UHFFFAOYSA-N,-6.2,-6.5,-7.4
MUCZHBLJLSDCSD-UHFFFAOYSA-N,-5.2,-4.8,-4.9
OSDLLIBGSJNGJE-UHFFFAOYSA-N,-5.1,-5.3,-6.1
RARSHUDCJQSEFJ-UHFFFAOYSA-N,-5.0,-5.6,-5.8
TXCGAZHTZHNUAI-UHFFFAOYSA-N,-5.9,-6.3,-6.7
RBNWAMSGVWEHFP-WAAGHKOSSA-N,-5.5,-5.5,-5.9
KEJXLQUPYHWCNM-UHFFFAOYSA-N,-6.3,-6.4,-7.0
CXQGFLBVUNUQIA-UHFFFAOYSA-N,-6.4,-6.7,-7.2
IRZVVDMCEZNNCW-UHFFFAOYSA-N,-7.7,-8.3,-8.4
HVTQGIFBNBMSGE-JZRMKITLSA-N,-3.9,-4.0,-4.0
RWLALWYNXFYRGW-YUMQZZPRSA-N,-4.3,-4.9,-5.0
MOYKHGMNXAOIAT-JGWLITMVSA-N,-6.6,-6.2,-5.8
BTGNGJJLZOIYID-UHFFFAOYSA-N,-7.3,-8.2,-9.5
HSMNQINEKMPTIC-UHFFFAOYSA-N,-6.0,-6.4,-6.8
KWGRBVOPPLSCSI-WCBMZHEXSA-N,-5.4,-5.6,-6.1
GFBKORZTTCHDGY-UWVJOHFNSA-N,-7.4,-7.5,-8.5
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,-4.7,-4.9,-5.1
PMFZALLSVLZXMR-SFHVURJKSA-N,-6.6,-6.2,-7.1
PBVFROWIWWGIFK-KWCOIAHCSA-N,-4.1,-3.8,-3.8
OKJPEAGHQZHRQV-UHFFFAOYSA-N,-2.3,-2.5,-2.6
MBHXKZDTQCSVPM-BDAFLREQSA-N,-8.4,-8.5,-9.2
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,-2.4,-2.6,-2.3
