ligand,E1,E2,E3
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,-2.5,-2.6,-2.3
KEJXLQUPYHWCNM-UHFFFAOYSA-N,-6.3,-6.2,-6.9
KWGRBVOPPLSCSI-WCBMZHEXSA-N,-5.4,-5.6,-6.1
TXCGAZHTZHNUAI-UHFFFAOYSA-N,-5.9,-6.3,-6.7
HSMNQINEKMPTIC-UHFFFAOYSA-N,-6.1,-6.5,-6.7
GUTZRTRUIMWMJZ-SSDOTTSWSA-N,-6.5,-7.1,-8.0
IRZVVDMCEZNNCW-UHFFFAOYSA-N,-8.9,-8.4,-8.3
BTGNGJJLZOIYID-UHFFFAOYSA-N,-8.1,-8.2,-9.8
MOYKHGMNXAOIAT-JGWLITMVSA-N,-6.4,-6.1,-5.8
PMFZALLSVLZXMR-SFHVURJKSA-N,-6.5,-6.4,-7.1
HVTQGIFBNBMSGE-JZRMKITLSA-N,-3.9,-4.0,-4.1
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,-4.7,-4.9,-5.1
CXQGFLBVUNUQIA-UHFFFAOYSA-N,-6.7,-6.6,-7.3
QXKHYNVANLEOEG-UHFFFAOYSA-N,-6.2,-6.5,-7.4
OSCTXCOERRNGLW-UHFFFAOYSA-N,-6.3,-6.3,-6.5
OSDLLIBGSJNGJE-UHFFFAOYSA-N,-5.0,-5.3,-6.1
RWLALWYNXFYRGW-YUMQZZPRSA-N,-4.8,-4.9,-5.0
MUCZHBLJLSDCSD-UHFFFAOYSA-N,-4.7,-4.8,-5.1
PBVFROWIWWGIFK-KWCOIAHCSA-N,-4.1,-3.8,-3.9
MBHXKZDTQCSVPM-BDAFLREQSA-N,-8.3,-9.0,-9.3
GFBKORZTTCHDGY-UWVJOHFNSA-N,-7.5,-7.5,-8.5
OKJPEAGHQZHRQV-UHFFFAOYSA-N,-2.3,-2.5,-2.6
RBNWAMSGVWEHFP-WAAGHKOSSA-N,-5.5,-5.5,-5.9
RARSHUDCJQSEFJ-UHFFFAOYSA-N,-5.0,-5.6,-5.8
