ligand,E1,E2,E3
OSDLLIBGSJNGJE-UHFFFAOYSA-N,-5.4,-5.2,-5.4
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,-2.7,-2.3,-2.2
CXQGFLBVUNUQIA-UHFFFAOYSA-N,-7.4,-5.6,-5.8
RARSHUDCJQSEFJ-UHFFFAOYSA-N,-5.7,-5.8,-5.8
GFBKORZTTCHDGY-UWVJOHFNSA-N,-9.0,-5.9,-5.6
KWGRBVOPPLSCSI-WCBMZHEXSA-N,-5.7,-6.1,-6.4
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,-4.6,-4.9,-4.9
HVTQGIFBNBMSGE-JZRMKITLSA-N,-4.0,-4.1,-4.1
PMFZALLSVLZXMR-SFHVURJKSA-N,-7.0,-6.9,-7.3
RBNWAMSGVWEHFP-WAAGHKOSSA-N,-5.9,-6.4,-6.6
QXKHYNVANLEOEG-UHFFFAOYSA-N,-7.4,-6.9,-7.1
IRZVVDMCEZNNCW-UHFFFAOYSA-N,-8.2,-6.8,-6.8
HSMNQINEKMPTIC-UHFFFAOYSA-N,-6.7,-5.9,-5.9
PBVFROWIWWGIFK-KWCOIAHCSA-N,-3.8,-4.0,-3.9
MUCZHBLJLSDCSD-UHFFFAOYSA-N,-4.9,-5.0,-5.2
OSCTXCOERRNGLW-UHFFFAOYSA-N,-7.1,-5.8,-6.0
KEJXLQUPYHWCNM-UHFFFAOYSA-N,-6.8,-5.2,-5.7
MOYKHGMNXAOIAT-JGWLITMVSA-N,-6.7,-5.7,-6.0
OKJPEAGHQZHRQV-UHFFFAOYSA-N,-2.7,-2.4,-2.6
MBHXKZDTQCSVPM-BDAFLREQSA-N,-10.2,-6.4,-6.8
GUTZRTRUIMWMJZ-SSDOTTSWSA-N,-8.3,-6.1,-6.0
BTGNGJJLZOIYID-UHFFFAOYSA-N,-8.3,-7.6,-7.7
RWLALWYNXFYRGW-YUMQZZPRSA-N,-4.8,-4.9,-5.0
TXCGAZHTZHNUAI-UHFFFAOYSA-N,-6.2,-6.0,-6.3
