ligand,E1,E2,E3
MUCZHBLJLSDCSD-UHFFFAOYSA-N,-5.0,-4.8,-5.0
RARSHUDCJQSEFJ-UHFFFAOYSA-N,-5.0,-5.6,-5.8
KEJXLQUPYHWCNM-UHFFFAOYSA-N,-6.0,-6.4,-6.8
CXQGFLBVUNUQIA-UHFFFAOYSA-N,-6.3,-6.7,-7.3
IRZVVDMCEZNNCW-UHFFFAOYSA-N,-8.9,-8.4,-8.4
HSMNQINEKMPTIC-UHFFFAOYSA-N,-5.9,-6.4,-6.7
HVTQGIFBNBMSGE-JZRMKITLSA-N,-4.3,-4.0,-4.1
PBVFROWIWWGIFK-KWCOIAHCSA-N,-4.1,-3.8,-3.9
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,-4.7,-4.9,-5.1
OKJPEAGHQZHRQV-UHFFFAOYSA-N,-2.3,-2.5,-2.6
GFBKORZTTCHDGY-UWVJOHFNSA-N,-7.5,-7.5,-8.4
OSCTXCOERRNGLW-UHFFFAOYSA-N,-6.1,-6.3,-6.6
GUTZRTRUIMWMJZ-SSDOTTSWSA-N,-7.0,-7.1,-8.0
PMFZALLSVLZXMR-SFHVURJKSA-N,-6.6,-6.4,-7.1
MOYKHGMNXAOIAT-JGWLITMVSA-N,-6.0,-6.2,-5.9
QXKHYNVANLEOEG-UHFFFAOYSA-N,-6.2,-6.5,-7.4
TXCGAZHTZHNUAI-UHFFFAOYSA-N,-5.9,-6.3,-6.7
OSDLLIBGSJNGJE-UHFFFAOYSA-N,-5.0,-5.3,-6.1
KWGRBVOPPLSCSI-WCBMZHEXSA-N,-5.4,-5.6,-6.1
RWLALWYNXFYRGW-YUMQZZPRSA-N,-4.3,-4.9,-5.0
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,-2.4,-2.6,-2.3
MBHXKZDTQCSVPM-BDAFLREQSA-N,-8.5,-8.5,-9.3
RBNWAMSGVWEHFP-WAAGHKOSSA-N,-5.5,-5.5,-5.9
BTGNGJJLZOIYID-UHFFFAOYSA-N,-8.1,-8.3,-10.0
