ligand,E1,E2,E3
GUTZRTRUIMWMJZ-SSDOTTSWSA-N,-6.9,-6.0,-5.2
MBHXKZDTQCSVPM-BDAFLREQSA-N,-7.9,-8.0,-6.1
KWGRBVOPPLSCSI-WCBMZHEXSA-N,-5.5,-5.0,-5.0
GFBKORZTTCHDGY-UWVJOHFNSA-N,-7.2,-5.8,-5.6
PMFZALLSVLZXMR-SFHVURJKSA-N,-6.2,-5.7,-5.0
TXCGAZHTZHNUAI-UHFFFAOYSA-N,-5.6,-5.1,-4.8
IRZVVDMCEZNNCW-UHFFFAOYSA-N,-7.2,-6.9,-5.9
OKJPEAGHQZHRQV-UHFFFAOYSA-N,-2.3,-2.1,-2.5
MUCZHBLJLSDCSD-UHFFFAOYSA-N,-4.4,-4.1,-3.9
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,-4.7,-4.3,-4.2
KEJXLQUPYHWCNM-UHFFFAOYSA-N,-5.8,-5.9,-5.0
MOYKHGMNXAOIAT-JGWLITMVSA-N,-5.9,-5.2,-4.6
QXKHYNVANLEOEG-UHFFFAOYSA-N,-7.1,-5.8,-5.8
BTGNGJJLZOIYID-UHFFFAOYSA-N,-7.3,-6.6,-5.7
HVTQGIFBNBMSGE-JZRMKITLSA-N,-3.7,-3.7,-3.1
PBVFROWIWWGIFK-KWCOIAHCSA-N,-3.3,-3.6,-2.9
RARSHUDCJQSEFJ-UHFFFAOYSA-N,-5.6,-5.0,-5.3
RWLALWYNXFYRGW-YUMQZZPRSA-N,-4.4,-3.9,-4.3
HSMNQINEKMPTIC-UHFFFAOYSA-N,-6.5,-6.2,-5.2
RBNWAMSGVWEHFP-WAAGHKOSSA-N,-4.6,-4.5,-4.6
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,-2.3,-2.1,-2.0
OSCTXCOERRNGLW-UHFFFAOYSA-N,-6.3,-6.5,-5.3
OSDLLIBGSJNGJE-UHFFFAOYSA-N,-5.4,-4.5,-4.3
CXQGFLBVUNUQIA-UHFFFAOYSA-N,-6.0,-6.1,-5.4
