ligand,E1,E2,E3
CXQGFLBVUNUQIA-UHFFFAOYSA-N,-6.2,-5.7,-5.8
TXCGAZHTZHNUAI-UHFFFAOYSA-N,-6.2,-7.0,-6.5
KWGRBVOPPLSCSI-WCBMZHEXSA-N,-5.3,-6.7,-6.4
RBNWAMSGVWEHFP-WAAGHKOSSA-N,-5.5,-6.6,-6.4
PBVFROWIWWGIFK-KWCOIAHCSA-N,-3.6,-4.1,-4.1
PMFZALLSVLZXMR-SFHVURJKSA-N,-6.6,-5.3,-5.4
OSCTXCOERRNGLW-UHFFFAOYSA-N,-6.4,-7.2,-7.1
OKJPEAGHQZHRQV-UHFFFAOYSA-N,-2.7,-3.1,-2.8
BTGNGJJLZOIYID-UHFFFAOYSA-N,-7.2,-5.6,-5.7
MBHXKZDTQCSVPM-BDAFLREQSA-N,-7.2,-6.4,-6.7
QXKHYNVANLEOEG-UHFFFAOYSA-N,-7.0,-7.0,-5.7
OSDLLIBGSJNGJE-UHFFFAOYSA-N,-5.1,-6.2,-5.4
HVTQGIFBNBMSGE-JZRMKITLSA-N,-3.8,-4.4,-4.4
IRZVVDMCEZNNCW-UHFFFAOYSA-N,-8.0,-5.2,-6.0
RARSHUDCJQSEFJ-UHFFFAOYSA-N,-5.5,-6.8,-6.5
RWLALWYNXFYRGW-YUMQZZPRSA-N,-4.5,-5.6,-5.4
MOYKHGMNXAOIAT-JGWLITMVSA-N,-6.3,-6.7,-6.6
GFBKORZTTCHDGY-UWVJOHFNSA-N,-7.2,-6.7,-6.2
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,-2.4,-2.6,-2.5
GUTZRTRUIMWMJZ-SSDOTTSWSA-N,-5.9,-4.6,-4.5
HSMNQINEKMPTIC-UHFFFAOYSA-N,-6.0,-6.9,-6.9
KEJXLQUPYHWCNM-UHFFFAOYSA-N,-6.2,-5.2,-4.2
MUCZHBLJLSDCSD-UHFFFAOYSA-N,-5.2,-5.3,-5.5
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,-4.5,-5.2,-5.0
