ligand,E1,E2,E3
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,-2.3,-3.1,-2.7
GFBKORZTTCHDGY-UWVJOHFNSA-N,-6.1,-7.5,-7.6
KWGRBVOPPLSCSI-WCBMZHEXSA-N,-5.9,-6.0,-5.9
RWLALWYNXFYRGW-YUMQZZPRSA-N,-4.9,-4.8,-4.6
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,-4.7,-5.9,-5.1
MUCZHBLJLSDCSD-UHFFFAOYSA-N,-5.3,-4.8,-5.2
RARSHUDCJQSEFJ-UHFFFAOYSA-N,-6.3,-6.7,-6.5
RBNWAMSGVWEHFP-WAAGHKOSSA-N,-6.6,-6.8,-5.5
BTGNGJJLZOIYID-UHFFFAOYSA-N,-7.0,-8.0,-7.7
HSMNQINEKMPTIC-UHFFFAOYSA-N,-5.8,-7.0,-7.0
QXKHYNVANLEOEG-UHFFFAOYSA-N,-6.6,-6.7,-6.7
HVTQGIFBNBMSGE-JZRMKITLSA-N,-3.9,-5.2,-3.8
PMFZALLSVLZXMR-SFHVURJKSA-N,-4.9,-6.8,-6.5
PBVFROWIWWGIFK-KWCOIAHCSA-N,-3.6,-4.8,-3.5
MOYKHGMNXAOIAT-JGWLITMVSA-N,-5.3,-7.2,-6.0
GUTZRTRUIMWMJZ-SSDOTTSWSA-N,-5.2,-7.1,-7.1
KEJXLQUPYHWCNM-UHFFFAOYSA-N,-5.6,-6.5,-6.2
OSCTXCOERRNGLW-UHFFFAOYSA-N,-6.0,-7.5,-7.5
MBHXKZDTQCSVPM-BDAFLREQSA-N,-5.9,-9.3,-9.3
TXCGAZHTZHNUAI-UHFFFAOYSA-N,-5.9,-5.6,-6.7
OKJPEAGHQZHRQV-UHFFFAOYSA-N,-2.9,-2.3,-2.2
IRZVVDMCEZNNCW-UHFFFAOYSA-N,-6.2,-7.4,-7.7
CXQGFLBVUNUQIA-UHFFFAOYSA-N,-6.1,-6.2,-6.5
OSDLLIBGSJNGJE-UHFFFAOYSA-N,-5.5,-5.9,-5.9
