ligand,E1,E2,E3
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.6,-2.7,-2.6
VZGDMQKNWNREIO-UHFFFAOYSA-N,-2.8,-2.9,-3.4
LOMDVEFCNVDZMZ-UHFFFAOYSA-N,-4.9,-4.8,-5.3
UZVHFVZFNXBMQJ-UHFFFAOYSA-N,-6.1,-6.6,-6.3
IYVFNTXFRYQLRP-VVSTWUKXSA-N,-8.3,-7.5,0.1
OTVAEFIXJLOWRX-NXEZZACHSA-N,-7.0,-6.7,-6.9
PCLITLDOTJTVDJ-UHFFFAOYSA-N,-4.8,-4.5,-4.6
MHPZZZZLAQGTHT-UHFFFAOYSA-N,-6.8,-6.7,-6.6
RTGDFNSFWBGLEC-SYZQJQIISA-N,-8.0,-7.2,-5.8
JJJFUHOGVZWXNQ-UHFFFAOYSA-N,-6.0,-5.8,-5.6
CWRVKFFCRWGWCS-UHFFFAOYSA-N,-6.2,-5.6,-6.6
LHIALLMPKJMSIQ-NSCUHMNNSA-N,-6.8,-6.6,-7.1
LXCFILQKKLGQFO-UHFFFAOYSA-N,-6.4,-5.6,-5.8
JWAZRIHNYRIHIV-UHFFFAOYSA-N,-7.2,-6.3,-6.3
BLFLLBZGZJTVJG-UHFFFAOYSA-N,-6.4,-6.3,-5.8
ICUTUKXCWQYESQ-UHFFFAOYSA-N,-7.9,-7.0,-6.3
SONNWYBIRXJNDC-VIFPVBQESA-N,-6.6,-6.4,-6.1
WGZDBVOTUVNQFP-UHFFFAOYSA-N,-8.5,-8.0,-7.1
