ligand,E1,E2,E3
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.3,-2.2,-2.3
ICUTUKXCWQYESQ-UHFFFAOYSA-N,-6.9,-7.3,-5.6
JWAZRIHNYRIHIV-UHFFFAOYSA-N,-6.6,-5.5,-4.9
LHIALLMPKJMSIQ-NSCUHMNNSA-N,-6.4,-6.2,-5.1
LOMDVEFCNVDZMZ-UHFFFAOYSA-N,-4.7,-4.5,-3.4
LXCFILQKKLGQFO-UHFFFAOYSA-N,-5.6,-5.1,-5.0
CWRVKFFCRWGWCS-UHFFFAOYSA-N,-5.3,-4.6,-4.4
RTGDFNSFWBGLEC-SYZQJQIISA-N,-7.5,-6.5,-5.3
OTVAEFIXJLOWRX-NXEZZACHSA-N,-6.3,-5.7,-5.4
BLFLLBZGZJTVJG-UHFFFAOYSA-N,-5.7,-5.3,-4.9
UZVHFVZFNXBMQJ-UHFFFAOYSA-N,-6.0,-5.0,-4.1
MHPZZZZLAQGTHT-UHFFFAOYSA-N,-6.5,-5.0,-5.2
PCLITLDOTJTVDJ-UHFFFAOYSA-N,-4.2,-3.8,-4.0
SONNWYBIRXJNDC-VIFPVBQESA-N,-5.7,-5.5,-5.2
WGZDBVOTUVNQFP-UHFFFAOYSA-N,-6.6,-6.2,-6.1
JJJFUHOGVZWXNQ-UHFFFAOYSA-N,-5.0,-4.3,-4.3
IYVFNTXFRYQLRP-VVSTWUKXSA-N,-7.0,-6.1,-5.2
VZGDMQKNWNREIO-UHFFFAOYSA-N,-2.7,-3.1,-2.3
