ligand,E1,E2,E3
IYVFNTXFRYQLRP-VVSTWUKXSA-N,-7.9,-8.0,-8.7
JWAZRIHNYRIHIV-UHFFFAOYSA-N,-5.8,-5.7,-6.7
SONNWYBIRXJNDC-VIFPVBQESA-N,-5.6,-5.8,-6.0
MHPZZZZLAQGTHT-UHFFFAOYSA-N,-6.5,-6.5,-7.3
JJJFUHOGVZWXNQ-UHFFFAOYSA-N,-5.2,-5.1,-5.3
OTVAEFIXJLOWRX-NXEZZACHSA-N,-6.4,-6.4,-7.3
LOMDVEFCNVDZMZ-UHFFFAOYSA-N,-4.6,-4.4,-5.4
RTGDFNSFWBGLEC-SYZQJQIISA-N,-7.9,-7.6,-8.3
PCLITLDOTJTVDJ-UHFFFAOYSA-N,-4.0,-4.8,-4.6
ICUTUKXCWQYESQ-UHFFFAOYSA-N,-7.2,-8.0,-8.0
VZGDMQKNWNREIO-UHFFFAOYSA-N,-3.2,-3.0,-2.9
LHIALLMPKJMSIQ-NSCUHMNNSA-N,-6.2,-7.0,-6.7
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.5,-2.4,-2.4
LXCFILQKKLGQFO-UHFFFAOYSA-N,-5.0,-5.6,-5.5
UZVHFVZFNXBMQJ-UHFFFAOYSA-N,-6.0,-6.0,-6.1
WGZDBVOTUVNQFP-UHFFFAOYSA-N,-7.1,-7.4,-7.6
CWRVKFFCRWGWCS-UHFFFAOYSA-N,-5.2,-5.5,-5.7
BLFLLBZGZJTVJG-UHFFFAOYSA-N,-5.3,-5.3,-5.6
