ligand,energy,binding score
BLFLLBZGZJTVJG-UHFFFAOYSA-N,-4.9,40815.25
WGZDBVOTUVNQFP-UHFFFAOYSA-N,-6.1,30761.45
JJJFUHOGVZWXNQ-UHFFFAOYSA-N,-4.3,57549.52
PCLITLDOTJTVDJ-UHFFFAOYSA-N,-4.1,36048.93
LHIALLMPKJMSIQ-NSCUHMNNSA-N,-6.2,52750.7
LOMDVEFCNVDZMZ-UHFFFAOYSA-N,-4.4,36752.66
MHPZZZZLAQGTHT-UHFFFAOYSA-N,-6.1,22601.51
LXCFILQKKLGQFO-UHFFFAOYSA-N,-4.9,44423.26
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.4,50106.22
VZGDMQKNWNREIO-UHFFFAOYSA-N,-2.4,86735.71
IYVFNTXFRYQLRP-VVSTWUKXSA-N,-6.3,60687.96
SONNWYBIRXJNDC-VIFPVBQESA-N,-5.2,53005.33
CWRVKFFCRWGWCS-UHFFFAOYSA-N,-4.7,56201.92
UZVHFVZFNXBMQJ-UHFFFAOYSA-N,-5.2,59371.65
JWAZRIHNYRIHIV-UHFFFAOYSA-N,-5.6,67953.54
ICUTUKXCWQYESQ-UHFFFAOYSA-N,-6.5,23249.32
RTGDFNSFWBGLEC-SYZQJQIISA-N,-6.7,57586.6
OTVAEFIXJLOWRX-NXEZZACHSA-N,-6.1,54484.01
KBHMHROOFHVLBA-SECBINFHSA-N,-5.3,34357.02
KCFYEAOKVJSACF-UHFFFAOYSA-N,-6.2,54084.36
MINDHVHHQZYEEK-HBBNESRFSA-N,-6.2,64834.85
DPYMFVXJLLWWEU-PVQJCKRUSA-N,-4.3,58460.25
HSHNITRMYYLLCV-UHFFFAOYSA-N,-6.3,47404.32
OPTZOXDYEFIPJZ-UHFFFAOYSA-N,-5.4,34656.13
WVYXNIXAMZOZFK-UHFFFAOYSA-N,-5.3,64858.47
BRBAEHHXGZRCBK-UHFFFAOYSA-N,-4.4,54662.6
OEYIOHPDSNJKLS-BJUDXGSMSA-N,-3.1,62384.3
DSSYKIVIOFKYAU-XCBNKYQSSA-N,-4.4,39486.34
UEEJHVSXFDXPFK-UHFFFAOYSA-N,-3.2,56374.93
HEDRZPFGACZZDS-UHFFFAOYSA-N,-2.6,28335.22
RGEVWUKXWFOAID-UHFFFAOYSA-N,-4.6,71214.9
TZDUHAJSIBHXDL-LBPRGKRZSA-N,-6.0,45722.91
CIUUIPMOFZIWIZ-UHFFFAOYSA-N,-5.9,43395.39
VEZXCJBBBCKRPI-UHFFFAOYSA-N,-2.8,41584.61
XSTXAVWGXDQKEL-UHFFFAOYSA-N,-3.0,40903.9
NYMGNSNKLVNMIA-UHFFFAOYSA-N,-5.2,39158.99
