ligand,energy,binding score
LOMDVEFCNVDZMZ-UHFFFAOYSA-N,-5.4,51231.28
JWAZRIHNYRIHIV-UHFFFAOYSA-N,-6.7,92644.06
CWRVKFFCRWGWCS-UHFFFAOYSA-N,-5.7,70776.57
LXCFILQKKLGQFO-UHFFFAOYSA-N,-5.5,77894.78
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.5,97887.29
ICUTUKXCWQYESQ-UHFFFAOYSA-N,-8.0,83188.91
BLFLLBZGZJTVJG-UHFFFAOYSA-N,-5.6,118548.27
PCLITLDOTJTVDJ-UHFFFAOYSA-N,-4.8,62053.49
VZGDMQKNWNREIO-UHFFFAOYSA-N,-3.2,125973.35
RTGDFNSFWBGLEC-SYZQJQIISA-N,-7.9,113581.0
WGZDBVOTUVNQFP-UHFFFAOYSA-N,-7.6,84348.92
IYVFNTXFRYQLRP-VVSTWUKXSA-N,-8.9,70208.13
LHIALLMPKJMSIQ-NSCUHMNNSA-N,-7.0,79441.28
MHPZZZZLAQGTHT-UHFFFAOYSA-N,-7.1,40168.05
JJJFUHOGVZWXNQ-UHFFFAOYSA-N,-5.3,70005.49
OTVAEFIXJLOWRX-NXEZZACHSA-N,-7.3,64313.52
SONNWYBIRXJNDC-VIFPVBQESA-N,-5.9,88607.84
UZVHFVZFNXBMQJ-UHFFFAOYSA-N,-6.0,81325.98
BDYYDXJSHYEDGB-UHFFFAOYSA-N,-7.3,95142.25
GHMLBKRAJCXXBS-UHFFFAOYSA-N,-5.1,69127.3
TZDUHAJSIBHXDL-LBPRGKRZSA-N,-7.7,73357.92
OPTZOXDYEFIPJZ-UHFFFAOYSA-N,-6.7,89227.77
MSNWSDPPULHLDL-UHFFFAOYSA-K,-3.4,75539.39
BRBAEHHXGZRCBK-UHFFFAOYSA-N,-5.8,70831.06
FGVVTMRZYROCTH-UHFFFAOYSA-N,-4.7,104285.74
OEYIOHPDSNJKLS-BJUDXGSMSA-N,-3.8,93908.32
CIUUIPMOFZIWIZ-UHFFFAOYSA-N,-6.9,94467.1
KBHMHROOFHVLBA-SECBINFHSA-N,-6.0,89415.02
MINDHVHHQZYEEK-HBBNESRFSA-N,-7.5,73692.92
HSHNITRMYYLLCV-UHFFFAOYSA-N,-7.0,90108.57
UEEJHVSXFDXPFK-UHFFFAOYSA-N,-3.5,120771.42
WVYXNIXAMZOZFK-UHFFFAOYSA-N,-6.5,68064.57
KCFYEAOKVJSACF-UHFFFAOYSA-N,-6.9,58326.85
DPYMFVXJLLWWEU-PVQJCKRUSA-N,-5.1,79068.37
AVKHCKXGKPAGEI-UHFFFAOYSA-N,-6.1,97645.92
HEDRZPFGACZZDS-UHFFFAOYSA-N,-2.9,69054.22
XSTXAVWGXDQKEL-UHFFFAOYSA-N,-3.3,123330.15
DSSYKIVIOFKYAU-XCBNKYQSSA-N,-5.3,72226.11
NYMGNSNKLVNMIA-UHFFFAOYSA-N,-6.1,76784.37
YJYPHIXNFHFHND-UHFFFAOYSA-N,-7.6,95427.13
VEZXCJBBBCKRPI-UHFFFAOYSA-N,-3.4,75057.23
RGEVWUKXWFOAID-UHFFFAOYSA-N,-5.4,105806.53
VNLMRPAWAMPLNZ-LURJTMIESA-N,-6.2,81979.87
VWQZJJZGISNFOE-UHFFFAOYSA-N,-7.7,70439.22
RTZKZFJDLAIYFH-UHFFFAOYSA-N,-3.0,81641.17
VEQOALNAAJBPNY-UHFFFAOYSA-N,-6.7,104084.75
NBIIXXVUZAFLBC-UHFFFAOYSA-N,-3.3,92687.67
JSWZEAMFRNKZNL-UHFFFAOYSA-N,-8.5,77980.32
AUFSOOYCQYDGES-SECBINFHSA-N,-5.6,79921.0
PIWKPBJCKXDKJR-SFOWXEAESA-N,-4.9,58930.28
JBIMVDZLSHOPLA-LSCVHKIXSA-N,-7.9,69099.25
JLRNKCZRCMIVKA-UHFFFAOYSA-N,-8.1,104705.69
NHUHCSRWZMLRLA-UHFFFAOYSA-N,-7.7,48091.57
GSEJCLTVZPLZKY-UHFFFAOYSA-N,-4.4,93466.62
YXKTVDFXDRQTKV-HNNXBMFYSA-N,-7.7,96285.37
NHKZSTHOYNWEEZ-AFCXAGJDSA-N,-7.0,68826.61
HZQDCMWJEBCWBR-UUOKFMHZSA-N,-7.1,71815.32
QFWPJPIVLCBXFJ-UHFFFAOYSA-N,-7.4,76534.15
IIXWYSCJSQVBQM-LLVKDONJSA-N,-9.4,62120.13
AYJVGKWCGIYEAK-UHFFFAOYSA-N,-8.0,95258.33
ZYEPZINLLPPBMI-GOSISDBHSA-N,-7.0,60047.09
WDVSHHCDHLJJJR-UHFFFAOYSA-N,-7.5,106878.14
QCDWFXQBSFUVSP-UHFFFAOYSA-N,-5.4,78599.32
HAWPXGHAZFHHAD-UHFFFAOYSA-N,-3.7,121809.71
JVVRCYWZTJLJSG-UHFFFAOYSA-N,-5.3,91045.45
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.9,89971.47
VJOVAKSZILJDBB-UHFFFAOYSA-N,-4.7,112779.94
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-7.4,110780.59
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-5.0,69748.75
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-7.8,86966.82
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-7.6,60032.5
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-7.9,101483.65
KJHOZAZQWVKILO-UHFFFAOYSA-N,-6.1,73868.92
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.6,95507.08
HZTMGWSBSDLALI-UHFFFAOYSA-N,-6.9,71481.21
HJXMNVQARNZTEE-NSHDSACASA-N,-6.8,92744.53
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-8.8,63444.72
NGXUUAFYUCOICP-UHFFFAOYSA-N,-6.3,56875.34
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.8,64567.01
