ligand,energy,binding score
RTGDFNSFWBGLEC-SYZQJQIISA-N,-8.0,114995.39
OTVAEFIXJLOWRX-NXEZZACHSA-N,-7.3,65258.54
WGZDBVOTUVNQFP-UHFFFAOYSA-N,-7.6,84083.81
LOMDVEFCNVDZMZ-UHFFFAOYSA-N,-5.4,52659.34
MHPZZZZLAQGTHT-UHFFFAOYSA-N,-7.1,41759.18
JWAZRIHNYRIHIV-UHFFFAOYSA-N,-6.7,94782.7
VZGDMQKNWNREIO-UHFFFAOYSA-N,-3.2,128172.15
CWRVKFFCRWGWCS-UHFFFAOYSA-N,-5.7,73447.61
BLFLLBZGZJTVJG-UHFFFAOYSA-N,-5.6,119709.2
UZVHFVZFNXBMQJ-UHFFFAOYSA-N,-6.1,82095.73
PCLITLDOTJTVDJ-UHFFFAOYSA-N,-4.6,64524.1
IYVFNTXFRYQLRP-VVSTWUKXSA-N,-8.8,71232.88
JJJFUHOGVZWXNQ-UHFFFAOYSA-N,-5.1,71799.38
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.5,100223.27
ICUTUKXCWQYESQ-UHFFFAOYSA-N,-8.0,83052.36
LHIALLMPKJMSIQ-NSCUHMNNSA-N,-6.9,81155.2
LXCFILQKKLGQFO-UHFFFAOYSA-N,-5.6,81082.31
SONNWYBIRXJNDC-VIFPVBQESA-N,-6.0,91807.56
BRBAEHHXGZRCBK-UHFFFAOYSA-N,-5.9,72109.0
RGEVWUKXWFOAID-UHFFFAOYSA-N,-5.4,109194.77
XSTXAVWGXDQKEL-UHFFFAOYSA-N,-3.3,125297.81
OEYIOHPDSNJKLS-BJUDXGSMSA-N,-3.8,96307.88
TZDUHAJSIBHXDL-LBPRGKRZSA-N,-7.0,74507.27
HEDRZPFGACZZDS-UHFFFAOYSA-N,-2.9,70464.24
MINDHVHHQZYEEK-HBBNESRFSA-N,-7.5,74350.41
GHMLBKRAJCXXBS-UHFFFAOYSA-N,-5.1,71077.34
WVYXNIXAMZOZFK-UHFFFAOYSA-N,-6.6,68291.9
UEEJHVSXFDXPFK-UHFFFAOYSA-N,-3.5,122593.49
MSNWSDPPULHLDL-UHFFFAOYSA-K,-3.4,76797.28
YJYPHIXNFHFHND-UHFFFAOYSA-N,-7.6,95123.96
KBHMHROOFHVLBA-SECBINFHSA-N,-6.0,90602.48
KCFYEAOKVJSACF-UHFFFAOYSA-N,-7.7,58759.23
BDYYDXJSHYEDGB-UHFFFAOYSA-N,-7.2,94796.64
NYMGNSNKLVNMIA-UHFFFAOYSA-N,-6.1,77591.83
FGVVTMRZYROCTH-UHFFFAOYSA-N,-4.7,105544.26
AVKHCKXGKPAGEI-UHFFFAOYSA-N,-6.1,99548.72
CIUUIPMOFZIWIZ-UHFFFAOYSA-N,-6.9,94411.62
OPTZOXDYEFIPJZ-UHFFFAOYSA-N,-6.8,92200.18
DPYMFVXJLLWWEU-PVQJCKRUSA-N,-5.1,80373.07
HSHNITRMYYLLCV-UHFFFAOYSA-N,-7.0,91439.49
DSSYKIVIOFKYAU-XCBNKYQSSA-N,-5.3,71955.16
VEZXCJBBBCKRPI-UHFFFAOYSA-N,-3.4,76748.64
HAWPXGHAZFHHAD-UHFFFAOYSA-N,-3.7,122618.18
YXKTVDFXDRQTKV-HNNXBMFYSA-N,-7.7,96926.69
NHUHCSRWZMLRLA-UHFFFAOYSA-N,-7.7,49805.0
NBIIXXVUZAFLBC-UHFFFAOYSA-N,-3.3,94679.5
NHKZSTHOYNWEEZ-AFCXAGJDSA-N,-7.0,70489.7
QCDWFXQBSFUVSP-UHFFFAOYSA-N,-5.3,80990.15
VNLMRPAWAMPLNZ-LURJTMIESA-N,-6.3,82459.41
AUFSOOYCQYDGES-SECBINFHSA-N,-5.6,82389.85
RTZKZFJDLAIYFH-UHFFFAOYSA-N,-3.1,83390.12
AYJVGKWCGIYEAK-UHFFFAOYSA-N,-7.6,97443.95
QFWPJPIVLCBXFJ-UHFFFAOYSA-N,-7.4,78746.62
IIXWYSCJSQVBQM-LLVKDONJSA-N,-9.4,62254.13
JVVRCYWZTJLJSG-UHFFFAOYSA-N,-5.3,93955.87
GSEJCLTVZPLZKY-UHFFFAOYSA-N,-4.5,95204.74
ZYEPZINLLPPBMI-GOSISDBHSA-N,-7.0,60928.21
JBIMVDZLSHOPLA-LSCVHKIXSA-N,-8.0,70159.21
VEQOALNAAJBPNY-UHFFFAOYSA-N,-6.7,106697.12
VWQZJJZGISNFOE-UHFFFAOYSA-N,-7.6,70017.79
WDVSHHCDHLJJJR-UHFFFAOYSA-N,-7.5,107376.39
HZQDCMWJEBCWBR-UUOKFMHZSA-N,-7.1,72932.34
PIWKPBJCKXDKJR-SFOWXEAESA-N,-4.9,60369.39
JSWZEAMFRNKZNL-UHFFFAOYSA-N,-8.4,79245.1
JLRNKCZRCMIVKA-UHFFFAOYSA-N,-7.9,107505.11
HJXMNVQARNZTEE-NSHDSACASA-N,-6.8,93327.45
HZTMGWSBSDLALI-UHFFFAOYSA-N,-6.6,72446.46
FVIGODVHAVLZOO-UHFFFAOYSA-N,-4.4,92201.56
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.4,124065.23
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.8,92936.93
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-8.8,64718.27
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-8.2,102562.65
KJHOZAZQWVKILO-UHFFFAOYSA-N,-6.1,75320.1
YQNFBOJPTAXAKV-OMCISZLKSA-N,-5.8,37767.1
LTINPJMVDKPJJI-PBXRRBTRSA-N,-4.7,87744.23
SLXKOJJOQWFEFD-UHFFFAOYSA-N,-4.6,82574.8
WNLRTRBMVRJNCN-UHFFFAOYSA-N,-5.0,71875.55
NGXUUAFYUCOICP-UHFFFAOYSA-N,-6.3,58375.6
VJOVAKSZILJDBB-UHFFFAOYSA-N,-4.7,112029.16
RATGSRSDPNECNO-QMMMGPOBSA-N,-6.0,121034.37
RMUCZJUITONUFY-UHFFFAOYSA-N,-5.8,65987.78
GUBGYTABKSRVRQ-XLOQQCSPSA-N,-6.6,99194.31
GKPFBMQXTRZTOW-UHFFFAOYSA-N,-7.5,61240.63
TZRXHJWUDPFEEY-UHFFFAOYSA-N,-6.1,58430.93
CYWFCPPBTWOZSF-UHFFFAOYSA-N,-6.2,115394.9
ZWAOHEXOSAUJHY-ZIYNGMLESA-N,-7.4,112096.48
JZWFDVDETGFGFC-UHFFFAOYSA-N,-6.8,46208.15
WXZMFSXDPGVJKK-UHFFFAOYSA-N,-4.6,97458.84
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-7.8,90335.33
HJXMNVQARNZTEE-NSHDSACASA-N,-6.8,93327.45
SLWGJZPKHAXZQL-UHFFFAOYSA-N,-4.8,88685.36
HZTMGWSBSDLALI-UHFFFAOYSA-N,-6.6,72446.46
FVIGODVHAVLZOO-UHFFFAOYSA-N,-4.4,92201.56
FDQGNLOWMMVRQL-UHFFFAOYSA-N,-6.3,77302.52
PHTMLLGDZBZXMW-AERCQKQUSA-N,-7.6,77889.52
FFEARJCKVFRZRR-BYPYZUCNSA-N,-4.2,114884.52
ACTRVOBWPAIOHC-XIXRPRMCSA-N,-4.4,124065.23
ROHFNLRQFUQHCH-YFKPBYRVSA-N,-4.8,92936.93
VTHJTEIRLNZDEV-UHFFFAOYSA-L,-3.0,91713.79
GPTONYMQFTZPKC-UHFFFAOYSA-N,-7.5,71287.94
KXVSBTJVTUVNPM-UKPNQBOSSA-N,-8.8,64718.27
MQOBSOSZFYZQOK-UHFFFAOYSA-N,-8.5,98287.4
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,-8.2,102562.65
KJHOZAZQWVKILO-UHFFFAOYSA-N,-6.1,75320.1
