ligand,E1,E2,E3
DZGWFCGJZKJUFP-UHFFFAOYSA-N,-5.6,-5.1,-5.0
VYFYYTLLBUKUHU-UHFFFAOYSA-N,-5.9,-5.2,-5.5
HDGFUOKLIQJQCS-UHFFFAOYSA-O,-7.3,-6.2,-6.4
VYQNWZOUAUKGHI-UHFFFAOYSA-N,-6.7,-5.8,-6.2
UYUXSRADSPPKRZ-SKNVOMKLSA-N,-5.3,-5.1,-4.5
RBTBFTRPCNLSDE-UHFFFAOYSA-N,-7.5,-5.7,-4.8
HTYIXCKSEQQCJO-NSHDSACASA-N,-6.7,-4.9,-4.3
HLIBJQGJVDHCNB-UHFFFAOYSA-N,-7.6,-6.7,-6.4
GCHKUUOPYMFGEY-VMPITWQZSA-N,-6.0,-5.0,-5.4
OXNIZHLAWKMVMX-UHFFFAOYSA-N,-6.5,-6.0,-5.0
KDYFGRWQOYBRFD-UHFFFAOYSA-N,-4.5,-4.8,-4.5
ANTSCNMPPGJYLG-UHFFFAOYSA-N,-8.1,-6.2,-6.0
LRCXRAABFLIVAI-QMMMGPOBSA-N,-5.7,-5.2,-5.0
SUWZHLCNFQWNPE-LATRNWQMSA-N,-7.3,-6.2,-6.0
LSAMUAYPDHUBQD-OLKPEBQYSA-N,-5.9,-4.4,-4.1
DB00336,-6.5,-5.8,-5.6
YFLRYAVDPKONNX-UHFFFAOYSA-N,-6.3,-5.5,-5.2
DLNKOYKMWOXYQA-APPZFPTMSA-N,-5.8,-5.0,-4.9
UHDGCWIWMRVCDJ-CCXZUQQUSA-N,-6.4,-5.5,-6.1
OBZHEBDUNPOCJG-WBXJDKIVSA-N,-9.2,-7.5,-7.3
IAIWVQXQOWNYOU-FPYGCLRLSA-N,-6.0,-6.1,-5.6
JCKYGMPEJWAADB-UHFFFAOYSA-N,-6.5,-5.7,-5.2
YVGGHNCTFXOJCH-UHFFFAOYSA-N,-7.1,-5.7,-5.4
