ligand,E1,E2,E3
VYQNWZOUAUKGHI-UHFFFAOYSA-N,-6.8,-6.6,-6.9
RBTBFTRPCNLSDE-UHFFFAOYSA-N,-6.4,-6.0,-7.7
SUWZHLCNFQWNPE-LATRNWQMSA-N,-6.8,-7.4,-7.2
HTYIXCKSEQQCJO-NSHDSACASA-N,-6.0,-5.9,-6.7
HLIBJQGJVDHCNB-UHFFFAOYSA-N,-7.3,-7.1,-7.4
GCHKUUOPYMFGEY-VMPITWQZSA-N,-5.7,-6.2,-6.1
LRCXRAABFLIVAI-QMMMGPOBSA-N,-5.4,-5.7,-5.9
UHDGCWIWMRVCDJ-CCXZUQQUSA-N,-6.1,-6.8,-6.1
YVGGHNCTFXOJCH-UHFFFAOYSA-N,-6.6,-6.7,-6.8
OXNIZHLAWKMVMX-UHFFFAOYSA-N,-5.9,-6.1,-6.4
ANTSCNMPPGJYLG-UHFFFAOYSA-N,-7.6,-7.6,-8.5
HDGFUOKLIQJQCS-UHFFFAOYSA-O,-7.1,-7.3,-7.8
YFLRYAVDPKONNX-UHFFFAOYSA-N,-6.1,-6.0,-6.2
LSAMUAYPDHUBQD-OLKPEBQYSA-N,-5.1,-5.6,-5.3
KDYFGRWQOYBRFD-UHFFFAOYSA-N,-4.5,-4.6,-4.5
UYUXSRADSPPKRZ-SKNVOMKLSA-N,-5.3,-5.3,-5.1
DB00336,-6.0,-6.3,-6.2
OBZHEBDUNPOCJG-WBXJDKIVSA-N,-9.3,-9.3,-9.2
DZGWFCGJZKJUFP-UHFFFAOYSA-N,-4.9,-5.4,-5.6
VYFYYTLLBUKUHU-UHFFFAOYSA-N,-5.5,-5.8,-6.0
DLNKOYKMWOXYQA-APPZFPTMSA-N,-5.1,-5.4,-5.8
IAIWVQXQOWNYOU-FPYGCLRLSA-N,-6.0,-6.1,-5.8
JCKYGMPEJWAADB-UHFFFAOYSA-N,-5.9,-6.2,-6.3
