ligand,E1,E2,E3
VYQNWZOUAUKGHI-UHFFFAOYSA-N,-5.5,-5.2,-5.2
DLNKOYKMWOXYQA-APPZFPTMSA-N,-5.1,-4.0,-4.5
GCHKUUOPYMFGEY-VMPITWQZSA-N,-4.9,-4.5,-4.4
LRCXRAABFLIVAI-QMMMGPOBSA-N,-5.0,-4.4,-4.7
YVGGHNCTFXOJCH-UHFFFAOYSA-N,-5.8,-4.7,-5.1
YFLRYAVDPKONNX-UHFFFAOYSA-N,-5.0,-4.7,-4.7
JCKYGMPEJWAADB-UHFFFAOYSA-N,-5.3,-4.4,-4.2
ANTSCNMPPGJYLG-UHFFFAOYSA-N,-6.5,-5.8,-5.9
HDGFUOKLIQJQCS-UHFFFAOYSA-O,-7.2,-5.4,-5.4
DB00336,-5.2,-5.0,-5.1
SUWZHLCNFQWNPE-LATRNWQMSA-N,-6.2,-5.4,-5.2
IAIWVQXQOWNYOU-FPYGCLRLSA-N,-5.1,-5.0,-5.4
LSAMUAYPDHUBQD-OLKPEBQYSA-N,-4.4,-4.3,-4.2
UHDGCWIWMRVCDJ-CCXZUQQUSA-N,-5.2,-5.6,-5.3
VYFYYTLLBUKUHU-UHFFFAOYSA-N,-4.7,-4.7,-4.9
OBZHEBDUNPOCJG-WBXJDKIVSA-N,-8.5,-7.0,-6.9
UYUXSRADSPPKRZ-SKNVOMKLSA-N,-4.5,-5.1,-4.1
KDYFGRWQOYBRFD-UHFFFAOYSA-N,-3.7,-4.4,-3.9
HLIBJQGJVDHCNB-UHFFFAOYSA-N,-6.1,-5.7,-5.2
RBTBFTRPCNLSDE-UHFFFAOYSA-N,-6.1,-4.8,-4.7
OXNIZHLAWKMVMX-UHFFFAOYSA-N,-4.9,-6.0,-4.9
DZGWFCGJZKJUFP-UHFFFAOYSA-N,-4.4,-4.1,-4.9
HTYIXCKSEQQCJO-NSHDSACASA-N,-5.1,-4.6,-4.6
