ligand,E1,E2,E3
GCHKUUOPYMFGEY-VMPITWQZSA-N,-6.0,-4.8,-5.2
KDYFGRWQOYBRFD-UHFFFAOYSA-N,-4.5,-4.8,-4.5
DLNKOYKMWOXYQA-APPZFPTMSA-N,-5.8,-5.0,-5.0
VYFYYTLLBUKUHU-UHFFFAOYSA-N,-5.9,-5.2,-5.5
OBZHEBDUNPOCJG-WBXJDKIVSA-N,-9.3,-7.5,-7.3
UHDGCWIWMRVCDJ-CCXZUQQUSA-N,-6.4,-5.5,-6.1
ANTSCNMPPGJYLG-UHFFFAOYSA-N,-8.1,-6.2,-6.0
JCKYGMPEJWAADB-UHFFFAOYSA-N,-6.5,-5.6,-5.1
YFLRYAVDPKONNX-UHFFFAOYSA-N,-6.2,-5.5,-5.1
IAIWVQXQOWNYOU-FPYGCLRLSA-N,-6.0,-6.1,-5.6
VYQNWZOUAUKGHI-UHFFFAOYSA-N,-6.8,-5.8,-6.1
RBTBFTRPCNLSDE-UHFFFAOYSA-N,-7.5,-5.7,-4.7
HTYIXCKSEQQCJO-NSHDSACASA-N,-6.7,-4.9,-4.2
OXNIZHLAWKMVMX-UHFFFAOYSA-N,-6.5,-6.0,-5.0
UYUXSRADSPPKRZ-SKNVOMKLSA-N,-5.3,-5.1,-4.6
DB00336,-6.4,-5.9,-5.6
LRCXRAABFLIVAI-QMMMGPOBSA-N,-5.7,-5.2,-5.0
YVGGHNCTFXOJCH-UHFFFAOYSA-N,-7.1,-5.7,-5.4
HDGFUOKLIQJQCS-UHFFFAOYSA-O,-7.3,-6.2,-6.4
LSAMUAYPDHUBQD-OLKPEBQYSA-N,-5.5,-4.4,-4.1
HLIBJQGJVDHCNB-UHFFFAOYSA-N,-7.6,-6.8,-6.4
SUWZHLCNFQWNPE-LATRNWQMSA-N,-7.3,-6.8,-6.0
DZGWFCGJZKJUFP-UHFFFAOYSA-N,-5.6,-5.1,-5.0
