ligand,E1,E2,E3
DZGWFCGJZKJUFP-UHFFFAOYSA-N,-5.4,-5.9,-4.9
IAIWVQXQOWNYOU-FPYGCLRLSA-N,-6.8,-7.1,-5.9
HDGFUOKLIQJQCS-UHFFFAOYSA-O,-7.0,-8.9,-6.2
JCKYGMPEJWAADB-UHFFFAOYSA-N,-7.6,-7.2,-5.8
SUWZHLCNFQWNPE-LATRNWQMSA-N,-8.1,-8.4,-6.5
LSAMUAYPDHUBQD-OLKPEBQYSA-N,-4.7,-5.5,-4.2
YFLRYAVDPKONNX-UHFFFAOYSA-N,-6.5,-7.5,-6.2
HTYIXCKSEQQCJO-NSHDSACASA-N,-6.1,-6.2,-5.1
UHDGCWIWMRVCDJ-CCXZUQQUSA-N,-5.7,-6.7,-6.1
OBZHEBDUNPOCJG-WBXJDKIVSA-N,-7.8,-9.1,-8.2
VYFYYTLLBUKUHU-UHFFFAOYSA-N,-5.7,-6.0,-5.4
HLIBJQGJVDHCNB-UHFFFAOYSA-N,-8.5,-9.3,-6.4
YVGGHNCTFXOJCH-UHFFFAOYSA-N,-7.1,-7.1,-6.0
OXNIZHLAWKMVMX-UHFFFAOYSA-N,-7.2,-7.0,-6.5
ANTSCNMPPGJYLG-UHFFFAOYSA-N,-6.1,-8.6,-7.4
RBTBFTRPCNLSDE-UHFFFAOYSA-N,-7.7,-7.4,-6.0
UYUXSRADSPPKRZ-SKNVOMKLSA-N,-6.2,-5.3,-5.0
KDYFGRWQOYBRFD-UHFFFAOYSA-N,-4.8,-4.6,-4.3
GCHKUUOPYMFGEY-VMPITWQZSA-N,-6.5,-6.6,-5.3
DLNKOYKMWOXYQA-APPZFPTMSA-N,-5.8,-6.6,-5.4
DB00336,-6.8,-6.8,-6.0
LRCXRAABFLIVAI-QMMMGPOBSA-N,-5.9,-6.5,-5.6
VYQNWZOUAUKGHI-UHFFFAOYSA-N,-7.5,-8.7,-6.0
