ligand,E1,E2,E3
YMFGJWGABDOFID-UHFFFAOYSA-N,-6.8,-6.7,-6.8
JOWRFSPJFXLGGY-VIFPVBQESA-N,-6.3,-6.2,-6.6
XKFZYVWWXHCHIX-UHFFFAOYSA-N,-4.5,-4.7,-4.6
DVASNQYQOZHAJN-OAHLLOKOSA-N,-7.2,-7.0,-8.3
FZRNEERXGKQYPH-UHFFFAOYSA-N,-7.2,-7.5,-7.7
JLMHZVYLAQPMOZ-UHFFFAOYSA-N,-4.0,-3.5,-3.7
MPDGHEJMBKOTSU-YKLVYJNSSA-N,-8.5,-9.0,-9.9
WQABCVAJNWAXTE-VKHMYHEASA-N,-3.1,-3.1,-3.1
OIRDTQYFTABQOQ-UHTZMRCNSA-N,-7.0,-7.3,-6.9
QUBQYFYWUJJAAK-UHFFFAOYSA-N,-4.5,-4.4,-4.4
NRNCYVBFPDDJNE-ZETCQYMHSA-N,-6.3,-5.8,-7.0
QANMHLXAZMSUEX-UHFFFAOYSA-N,-6.3,-6.9,-6.8
JDLSRXWHEBFHNC-UHFFFAOYSA-N,-6.4,-8.0,-7.8
KXRZBTAEDBELFD-UHFFFAOYSA-N,-6.7,-6.6,-7.5
QXLPXWSKPNOQLE-ZCFIWIBFSA-N,-4.5,-4.3,-4.3
YGSDEFSMJLZEOE-UHFFFAOYSA-N,-5.7,-5.3,-5.7
YAGBSNMZQKEFCO-JTQLQIEISA-N,-5.0,-5.5,-5.8
ZBNBQISDCFIEQC-UHFFFAOYSA-N,-5.1,-4.7,-5.5
RWWYLEGWBNMMLJ-YSOARWBDSA-N,-7.8,-7.8,-8.7
LAYVFLWAVIGDLK-LJQANCHMSA-N,-6.7,-6.8,-6.9
KWBTZIFLQYYPTH-UHFFFAOYSA-N,-6.2,-6.5,-7.0
WZNJWVWKTVETCG-YFKPBYRVSA-N,-5.8,-5.8,-6.1
YDBYJHTYSHBBAU-YFKPBYRVSA-O,-4.4,-4.4,-4.5
UIEATEWHFDRYRU-XMMPIXPASA-N,-7.0,-6.2,-6.9
