ligand,E1,E2,E3
JOWRFSPJFXLGGY-VIFPVBQESA-N,-7.2,-7.9,-6.6
RWWYLEGWBNMMLJ-YSOARWBDSA-N,-9.2,-9.0,-9.4
XKFZYVWWXHCHIX-UHFFFAOYSA-N,-5.3,-5.5,-4.5
UIEATEWHFDRYRU-XMMPIXPASA-N,-7.3,-7.4,-7.4
YMFGJWGABDOFID-UHFFFAOYSA-N,-6.9,-7.2,-6.4
JDLSRXWHEBFHNC-UHFFFAOYSA-N,-8.2,-7.8,-7.7
QUBQYFYWUJJAAK-UHFFFAOYSA-N,-5.8,-5.7,-4.6
YDBYJHTYSHBBAU-YFKPBYRVSA-O,-5.1,-5.5,-4.3
ZBNBQISDCFIEQC-UHFFFAOYSA-N,-5.6,-6.0,-5.3
LAYVFLWAVIGDLK-LJQANCHMSA-N,-8.0,-7.4,-7.3
WZNJWVWKTVETCG-YFKPBYRVSA-N,-6.6,-7.0,-6.3
MPDGHEJMBKOTSU-YKLVYJNSSA-N,-10.5,-10.0,-10.2
YGSDEFSMJLZEOE-UHFFFAOYSA-N,-6.1,-6.3,-5.1
QXLPXWSKPNOQLE-ZCFIWIBFSA-N,-4.5,-4.4,-4.0
KXRZBTAEDBELFD-UHFFFAOYSA-N,-7.9,-8.3,-7.4
NRNCYVBFPDDJNE-ZETCQYMHSA-N,-6.7,-6.9,-6.4
JLMHZVYLAQPMOZ-UHFFFAOYSA-N,-4.5,-4.5,-3.7
WQABCVAJNWAXTE-VKHMYHEASA-N,-3.5,-3.5,-2.8
KWBTZIFLQYYPTH-UHFFFAOYSA-N,-6.8,-6.8,-6.4
DVASNQYQOZHAJN-OAHLLOKOSA-N,-7.7,-8.0,-8.0
YAGBSNMZQKEFCO-JTQLQIEISA-N,-5.6,-5.7,-5.4
QANMHLXAZMSUEX-UHFFFAOYSA-N,-7.1,-7.6,-7.1
FZRNEERXGKQYPH-UHFFFAOYSA-N,-8.2,-8.8,-7.8
OIRDTQYFTABQOQ-UHTZMRCNSA-N,-7.8,-7.9,-6.8
