ligand,E1,E2,E3
KWBTZIFLQYYPTH-UHFFFAOYSA-N,-5.1,-5.8,-4.7
LAYVFLWAVIGDLK-LJQANCHMSA-N,-5.7,-6.3,-4.7
KXRZBTAEDBELFD-UHFFFAOYSA-N,-5.6,-5.7,-5.8
YGSDEFSMJLZEOE-UHFFFAOYSA-N,-4.8,-5.2,-4.6
MPDGHEJMBKOTSU-YKLVYJNSSA-N,-7.6,-7.4,-6.7
JLMHZVYLAQPMOZ-UHFFFAOYSA-N,-3.3,-3.6,-3.4
WQABCVAJNWAXTE-VKHMYHEASA-N,-2.8,-2.7,-2.6
ZBNBQISDCFIEQC-UHFFFAOYSA-N,-4.2,-4.2,-4.0
RWWYLEGWBNMMLJ-YSOARWBDSA-N,-7.1,-6.5,-6.2
NRNCYVBFPDDJNE-ZETCQYMHSA-N,-5.1,-5.6,-4.6
YMFGJWGABDOFID-UHFFFAOYSA-N,-5.2,-5.8,-5.1
XKFZYVWWXHCHIX-UHFFFAOYSA-N,-3.6,-4.1,-3.4
WZNJWVWKTVETCG-YFKPBYRVSA-N,-5.2,-5.3,-5.0
QANMHLXAZMSUEX-UHFFFAOYSA-N,-5.5,-5.6,-4.9
JOWRFSPJFXLGGY-VIFPVBQESA-N,-5.2,-5.6,-4.4
UIEATEWHFDRYRU-XMMPIXPASA-N,-5.1,-5.8,-4.8
YAGBSNMZQKEFCO-JTQLQIEISA-N,-4.1,-5.3,-4.2
OIRDTQYFTABQOQ-UHTZMRCNSA-N,-5.9,-6.1,-5.3
JDLSRXWHEBFHNC-UHFFFAOYSA-N,-5.9,-6.0,-5.0
QUBQYFYWUJJAAK-UHFFFAOYSA-N,-3.9,-4.1,-3.9
YDBYJHTYSHBBAU-YFKPBYRVSA-O,-4.1,-3.9,-4.1
QXLPXWSKPNOQLE-ZCFIWIBFSA-N,-3.1,-3.7,-3.5
FZRNEERXGKQYPH-UHFFFAOYSA-N,-6.7,-6.5,-5.8
DVASNQYQOZHAJN-OAHLLOKOSA-N,-5.9,-6.7,-5.2
