ligand,E1,E2,E3
OIRDTQYFTABQOQ-UHTZMRCNSA-N,-7.0,-7.2,-6.9
QANMHLXAZMSUEX-UHFFFAOYSA-N,-6.3,-6.9,-6.6
YAGBSNMZQKEFCO-JTQLQIEISA-N,-5.0,-5.5,-5.8
QXLPXWSKPNOQLE-ZCFIWIBFSA-N,-4.5,-4.3,-4.3
ZBNBQISDCFIEQC-UHFFFAOYSA-N,-4.7,-4.8,-5.7
YDBYJHTYSHBBAU-YFKPBYRVSA-O,-4.4,-4.4,-4.5
JOWRFSPJFXLGGY-VIFPVBQESA-N,-6.3,-6.0,-6.7
WZNJWVWKTVETCG-YFKPBYRVSA-N,-5.7,-5.8,-6.1
WQABCVAJNWAXTE-VKHMYHEASA-N,-3.2,-3.0,-3.1
XKFZYVWWXHCHIX-UHFFFAOYSA-N,-4.5,-4.7,-4.6
KWBTZIFLQYYPTH-UHFFFAOYSA-N,-6.2,-6.5,-7.0
YGSDEFSMJLZEOE-UHFFFAOYSA-N,-5.7,-5.2,-5.7
NRNCYVBFPDDJNE-ZETCQYMHSA-N,-6.3,-5.8,-7.0
DVASNQYQOZHAJN-OAHLLOKOSA-N,-7.0,-7.0,-8.3
LAYVFLWAVIGDLK-LJQANCHMSA-N,-6.7,-6.7,-6.9
JLMHZVYLAQPMOZ-UHFFFAOYSA-N,-4.0,-3.7,-3.8
MPDGHEJMBKOTSU-YKLVYJNSSA-N,-8.7,-9.0,-9.9
RWWYLEGWBNMMLJ-YSOARWBDSA-N,-8.5,-8.0,-9.1
FZRNEERXGKQYPH-UHFFFAOYSA-N,-7.2,-7.6,-7.7
UIEATEWHFDRYRU-XMMPIXPASA-N,-7.1,-7.4,-7.1
KXRZBTAEDBELFD-UHFFFAOYSA-N,-6.7,-6.5,-7.4
YMFGJWGABDOFID-UHFFFAOYSA-N,-6.8,-6.7,-6.7
QUBQYFYWUJJAAK-UHFFFAOYSA-N,-4.6,-4.4,-4.4
JDLSRXWHEBFHNC-UHFFFAOYSA-N,-6.3,-7.9,-7.8
