ligand,E1,E2,E3
YMFGJWGABDOFID-UHFFFAOYSA-N,-6.8,-6.7,-6.7
UIEATEWHFDRYRU-XMMPIXPASA-N,-7.4,-7.4,-7.2
XKFZYVWWXHCHIX-UHFFFAOYSA-N,-4.5,-4.7,-4.6
QXLPXWSKPNOQLE-ZCFIWIBFSA-N,-4.5,-4.3,-4.3
QANMHLXAZMSUEX-UHFFFAOYSA-N,-6.5,-6.9,-6.6
KWBTZIFLQYYPTH-UHFFFAOYSA-N,-6.2,-6.5,-7.0
LAYVFLWAVIGDLK-LJQANCHMSA-N,-6.7,-6.7,-6.9
YAGBSNMZQKEFCO-JTQLQIEISA-N,-5.0,-5.5,-5.8
JOWRFSPJFXLGGY-VIFPVBQESA-N,-6.3,-6.2,-6.7
OIRDTQYFTABQOQ-UHTZMRCNSA-N,-7.0,-7.3,-6.9
MPDGHEJMBKOTSU-YKLVYJNSSA-N,-8.6,-9.0,-9.9
KXRZBTAEDBELFD-UHFFFAOYSA-N,-6.8,-6.5,-7.5
JLMHZVYLAQPMOZ-UHFFFAOYSA-N,-4.0,-3.7,-3.8
DVASNQYQOZHAJN-OAHLLOKOSA-N,-7.0,-7.0,-8.3
JDLSRXWHEBFHNC-UHFFFAOYSA-N,-6.4,-7.9,-7.8
NRNCYVBFPDDJNE-ZETCQYMHSA-N,-6.3,-5.8,-7.0
ZBNBQISDCFIEQC-UHFFFAOYSA-N,-5.2,-5.2,-5.2
YDBYJHTYSHBBAU-YFKPBYRVSA-O,-4.4,-4.4,-4.5
YGSDEFSMJLZEOE-UHFFFAOYSA-N,-5.7,-5.3,-5.7
FZRNEERXGKQYPH-UHFFFAOYSA-N,-7.3,-7.5,-7.7
RWWYLEGWBNMMLJ-YSOARWBDSA-N,-8.2,-8.1,-8.8
WZNJWVWKTVETCG-YFKPBYRVSA-N,-5.6,-5.8,-6.1
WQABCVAJNWAXTE-VKHMYHEASA-N,-2.9,-3.1,-3.1
QUBQYFYWUJJAAK-UHFFFAOYSA-N,-4.6,-4.4,-4.4
