ligand,E1,E2,E3
JBOOHWBSLUXBQW-SDNWHVSQSA-N,-5.9,-6.1,-5.7
MDNWOSOZYLHTCG-UHFFFAOYSA-N,-6.2,-6.2,-6.2
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,-4.6,-4.7,-4.6
LWRDQHOZTAOILO-UHFFFAOYSA-N,-5.3,-5.9,-5.6
SUHOQUVVVLNYQR-MRVPVSSYSA-N,-4.0,-4.6,-4.0
QRJOQYLXZPQQMX-FWROMSNXSA-N,-6.2,-6.2,-6.0
YVWGMAFXEJHFRO-UHFFFAOYSA-N,-3.5,-3.6,-3.6
DCXYFEDJOCDNAF-REOHCLBHSA-N,-3.9,-4.1,-3.9
BELBBZDIHDAJOR-UHFFFAOYSA-N,-6.6,-6.7,-6.4
OVTCHWSLKGENKP-UHFFFAOYSA-N,-5.7,-5.7,-5.6
OIRDTQYFTABQOQ-KQYNXXCUSA-N,-5.5,-5.7,-5.5
ZGXJTSGNIOSYLO-UHFFFAOYSA-N,-4.0,-3.8,-3.9
OWQUZNMMYNAXSL-UHFFFAOYSA-N,-6.1,-6.2,-6.2
OYHQOLUKZRVURQ-HZJYTTRNSA-N,-4.0,-4.5,-3.8
WTDGMHYYGNJEKQ-ZETCQYMHSA-N,-4.4,-4.7,-4.8
NGGMYCMLYOUNGM-CSDLUJIJSA-N,-6.2,-6.4,-6.0
DLEGDLSLRSOURQ-UHFFFAOYSA-N,-3.2,-3.4,-3.3
WGFOBBZOWHGYQH-MXHNKVEKSA-N,-5.7,-5.7,-5.6
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,-3.1,-3.3,-3.1
IMOLVSPMDGCLMB-UHFFFAOYSA-N,-6.9,-7.1,-6.8
CAMYKONBWHRPDD-UHFFFAOYSA-N,-5.0,-5.5,-5.3
SGTNSNPWRIOYBX-MHZLTWQESA-N,-5.3,-6.0,-4.8
GDLBFKVLRPITMI-UHFFFAOYSA-N,-5.6,-5.6,-5.6
TZWKUQDQKPYNLL-UHFFFAOYSA-N,-5.7,-5.8,-5.5
VZCYOOQTPOCHFL-OWOJBTEDSA-N,-3.7,-3.8,-3.6
