ligand,E1,E2,E3
OYHQOLUKZRVURQ-HZJYTTRNSA-N,-5.1,-5.7,-6.1
SGTNSNPWRIOYBX-MHZLTWQESA-N,-6.3,-7.2,-7.2
MDNWOSOZYLHTCG-UHFFFAOYSA-N,-6.9,-7.2,-7.2
SUHOQUVVVLNYQR-MRVPVSSYSA-N,-5.5,-5.3,-4.8
DCXYFEDJOCDNAF-REOHCLBHSA-N,-4.6,-4.9,-5.0
QRJOQYLXZPQQMX-FWROMSNXSA-N,-7.6,-7.7,-8.6
NGGMYCMLYOUNGM-CSDLUJIJSA-N,-8.1,-7.8,-8.3
JBOOHWBSLUXBQW-SDNWHVSQSA-N,-6.6,-6.5,-8.1
OVTCHWSLKGENKP-UHFFFAOYSA-N,-6.8,-6.5,-6.9
VZCYOOQTPOCHFL-OWOJBTEDSA-N,-4.4,-4.8,-4.7
DLEGDLSLRSOURQ-UHFFFAOYSA-N,-4.0,-3.8,-4.1
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,-5.7,-5.7,-5.4
GDLBFKVLRPITMI-UHFFFAOYSA-N,-6.1,-5.7,-7.2
YVWGMAFXEJHFRO-UHFFFAOYSA-N,-4.1,-4.2,-4.5
CAMYKONBWHRPDD-UHFFFAOYSA-N,-5.6,-6.0,-6.2
TZWKUQDQKPYNLL-UHFFFAOYSA-N,-6.2,-6.3,-6.7
ZGXJTSGNIOSYLO-UHFFFAOYSA-N,-4.5,-4.4,-4.5
LWRDQHOZTAOILO-UHFFFAOYSA-N,-6.5,-6.2,-6.8
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,-4.1,-3.8,-3.8
WTDGMHYYGNJEKQ-ZETCQYMHSA-N,-5.6,-5.6,-6.0
IMOLVSPMDGCLMB-UHFFFAOYSA-N,-7.8,-7.7,-8.6
OIRDTQYFTABQOQ-KQYNXXCUSA-N,-6.6,-6.9,-6.5
WGFOBBZOWHGYQH-MXHNKVEKSA-N,-6.9,-7.3,-7.8
OWQUZNMMYNAXSL-UHFFFAOYSA-N,-7.3,-6.8,-7.4
BELBBZDIHDAJOR-UHFFFAOYSA-N,-7.7,-7.9,-8.0
