ligand,E1,E2,E3
YVWGMAFXEJHFRO-UHFFFAOYSA-N,-3.7,-4.3,-3.9
NGGMYCMLYOUNGM-CSDLUJIJSA-N,-6.2,-6.8,-7.4
JBOOHWBSLUXBQW-SDNWHVSQSA-N,-5.9,-6.0,-6.1
VZCYOOQTPOCHFL-OWOJBTEDSA-N,-3.5,-3.9,-4.2
DLEGDLSLRSOURQ-UHFFFAOYSA-N,-3.4,-3.9,-3.6
DCXYFEDJOCDNAF-REOHCLBHSA-N,-3.7,-4.1,-4.4
SGTNSNPWRIOYBX-MHZLTWQESA-N,-5.8,-6.8,-6.9
WGFOBBZOWHGYQH-MXHNKVEKSA-N,-5.6,-6.2,-6.7
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,-3.2,-3.1,-3.2
WTDGMHYYGNJEKQ-ZETCQYMHSA-N,-4.5,-5.0,-4.9
OWQUZNMMYNAXSL-UHFFFAOYSA-N,-5.5,-6.6,-6.6
TZWKUQDQKPYNLL-UHFFFAOYSA-N,-4.8,-5.5,-5.6
MDNWOSOZYLHTCG-UHFFFAOYSA-N,-5.0,-5.8,-6.5
LWRDQHOZTAOILO-UHFFFAOYSA-N,-4.2,-5.5,-5.5
IMOLVSPMDGCLMB-UHFFFAOYSA-N,-6.8,-6.2,-7.8
SUHOQUVVVLNYQR-MRVPVSSYSA-N,-3.7,-4.3,-4.7
CAMYKONBWHRPDD-UHFFFAOYSA-N,-4.9,-5.2,-5.3
GDLBFKVLRPITMI-UHFFFAOYSA-N,-4.7,-5.2,-5.6
OIRDTQYFTABQOQ-KQYNXXCUSA-N,-5.1,-5.7,-6.2
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,-4.6,-5.2,-4.8
BELBBZDIHDAJOR-UHFFFAOYSA-N,-5.5,-6.5,-7.3
OYHQOLUKZRVURQ-HZJYTTRNSA-N,-4.6,-5.2,-4.6
OVTCHWSLKGENKP-UHFFFAOYSA-N,-5.0,-6.6,-6.3
ZGXJTSGNIOSYLO-UHFFFAOYSA-N,-3.7,-3.9,-4.4
QRJOQYLXZPQQMX-FWROMSNXSA-N,-6.0,-7.9,-7.8
