ligand,E1,E2,E3
IMOLVSPMDGCLMB-UHFFFAOYSA-N,-7.1,-7.9,-8.0
TZWKUQDQKPYNLL-UHFFFAOYSA-N,-5.9,-6.1,-6.2
SGTNSNPWRIOYBX-MHZLTWQESA-N,-6.3,-6.8,-7.5
CAMYKONBWHRPDD-UHFFFAOYSA-N,-6.0,-6.7,-6.7
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,-4.9,-7.0,-5.5
NGGMYCMLYOUNGM-CSDLUJIJSA-N,-6.6,-8.7,-8.4
OWQUZNMMYNAXSL-UHFFFAOYSA-N,-5.4,-6.9,-6.9
BELBBZDIHDAJOR-UHFFFAOYSA-N,-6.6,-7.4,-8.2
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,-3.6,-4.4,-4.4
WTDGMHYYGNJEKQ-ZETCQYMHSA-N,-5.8,-6.6,-6.0
MDNWOSOZYLHTCG-UHFFFAOYSA-N,-5.6,-6.9,-7.0
OIRDTQYFTABQOQ-KQYNXXCUSA-N,-5.0,-7.3,-7.3
DCXYFEDJOCDNAF-REOHCLBHSA-N,-4.2,-6.2,-5.1
WGFOBBZOWHGYQH-MXHNKVEKSA-N,-5.8,-7.0,-7.6
DLEGDLSLRSOURQ-UHFFFAOYSA-N,-4.5,-5.0,-4.5
LWRDQHOZTAOILO-UHFFFAOYSA-N,-5.4,-6.0,-5.9
OYHQOLUKZRVURQ-HZJYTTRNSA-N,-5.9,-6.6,-6.9
QRJOQYLXZPQQMX-FWROMSNXSA-N,-5.9,-7.9,-7.8
SUHOQUVVVLNYQR-MRVPVSSYSA-N,-4.2,-5.9,-5.5
GDLBFKVLRPITMI-UHFFFAOYSA-N,-6.0,-6.5,-6.6
OVTCHWSLKGENKP-UHFFFAOYSA-N,-5.1,-6.9,-6.7
VZCYOOQTPOCHFL-OWOJBTEDSA-N,-4.1,-5.6,-5.2
JBOOHWBSLUXBQW-SDNWHVSQSA-N,-6.1,-7.4,-7.4
ZGXJTSGNIOSYLO-UHFFFAOYSA-N,-4.2,-5.7,-5.0
YVWGMAFXEJHFRO-UHFFFAOYSA-N,-4.9,-5.0,-4.1
