ligand,E1,E2,E3
ZGXJTSGNIOSYLO-UHFFFAOYSA-N,-4.0,-3.7,-2.8
TZWKUQDQKPYNLL-UHFFFAOYSA-N,-6.1,-4.0,-4.5
OWQUZNMMYNAXSL-UHFFFAOYSA-N,-6.2,-4.6,-5.3
WTDGMHYYGNJEKQ-ZETCQYMHSA-N,-5.0,-4.3,-3.9
OIRDTQYFTABQOQ-KQYNXXCUSA-N,-5.4,-4.8,-4.5
BELBBZDIHDAJOR-UHFFFAOYSA-N,-5.9,-5.5,-5.5
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,-3.1,-3.0,-2.6
DCXYFEDJOCDNAF-REOHCLBHSA-N,-3.9,-3.9,-3.0
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,-4.6,-4.3,-3.4
DLEGDLSLRSOURQ-UHFFFAOYSA-N,-3.4,-3.1,-3.1
GDLBFKVLRPITMI-UHFFFAOYSA-N,-5.4,-4.5,-4.3
SGTNSNPWRIOYBX-MHZLTWQESA-N,-6.3,-5.2,-4.2
JBOOHWBSLUXBQW-SDNWHVSQSA-N,-6.1,-4.8,-5.1
QRJOQYLXZPQQMX-FWROMSNXSA-N,-7.1,-5.2,-6.2
MDNWOSOZYLHTCG-UHFFFAOYSA-N,-6.3,-5.2,-4.8
LWRDQHOZTAOILO-UHFFFAOYSA-N,-5.5,-4.6,-4.1
WGFOBBZOWHGYQH-MXHNKVEKSA-N,-6.7,-4.5,-5.2
IMOLVSPMDGCLMB-UHFFFAOYSA-N,-7.0,-4.0,-5.7
SUHOQUVVVLNYQR-MRVPVSSYSA-N,-4.7,-3.7,-3.3
YVWGMAFXEJHFRO-UHFFFAOYSA-N,-3.6,-3.4,-3.4
VZCYOOQTPOCHFL-OWOJBTEDSA-N,-3.9,-3.5,-2.9
CAMYKONBWHRPDD-UHFFFAOYSA-N,-5.6,-4.1,-4.5
OYHQOLUKZRVURQ-HZJYTTRNSA-N,-5.9,-3.5,-3.8
NGGMYCMLYOUNGM-CSDLUJIJSA-N,-7.5,-5.6,-6.3
OVTCHWSLKGENKP-UHFFFAOYSA-N,-6.6,-4.6,-4.5
