ligand,E1,E2,E3
NGGMYCMLYOUNGM-CSDLUJIJSA-N,-9.4,-8.6,-8.6
SUHOQUVVVLNYQR-MRVPVSSYSA-N,-6.0,-5.9,-5.6
ZGXJTSGNIOSYLO-UHFFFAOYSA-N,-5.1,-5.1,-4.6
OVTCHWSLKGENKP-UHFFFAOYSA-N,-7.7,-7.5,-7.3
OIRDTQYFTABQOQ-KQYNXXCUSA-N,-7.8,-8.3,-7.1
MDNWOSOZYLHTCG-UHFFFAOYSA-N,-7.1,-7.2,-7.0
OWQUZNMMYNAXSL-UHFFFAOYSA-N,-7.5,-7.8,-7.8
BELBBZDIHDAJOR-UHFFFAOYSA-N,-9.2,-9.2,-8.4
SGTNSNPWRIOYBX-MHZLTWQESA-N,-7.9,-7.6,-7.8
YVWGMAFXEJHFRO-UHFFFAOYSA-N,-4.2,-4.0,-3.9
TZWKUQDQKPYNLL-UHFFFAOYSA-N,-6.8,-6.7,-6.6
CAMYKONBWHRPDD-UHFFFAOYSA-N,-6.3,-6.2,-5.9
VZCYOOQTPOCHFL-OWOJBTEDSA-N,-5.3,-5.0,-4.6
OYHQOLUKZRVURQ-HZJYTTRNSA-N,-5.1,-5.7,-5.7
DLEGDLSLRSOURQ-UHFFFAOYSA-N,-4.2,-4.1,-3.9
WGFOBBZOWHGYQH-MXHNKVEKSA-N,-8.3,-7.3,-7.7
WTDGMHYYGNJEKQ-ZETCQYMHSA-N,-5.9,-6.0,-5.5
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,-6.9,-6.9,-5.9
IMOLVSPMDGCLMB-UHFFFAOYSA-N,-9.2,-8.4,-8.3
DCXYFEDJOCDNAF-REOHCLBHSA-N,-5.8,-5.8,-4.7
GDLBFKVLRPITMI-UHFFFAOYSA-N,-7.6,-7.0,-6.5
LWRDQHOZTAOILO-UHFFFAOYSA-N,-6.6,-7.2,-6.9
QRJOQYLXZPQQMX-FWROMSNXSA-N,-9.6,-8.4,-8.6
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,-4.1,-4.0,-3.7
