ligand,E1,E2,E3
JBOOHWBSLUXBQW-SDNWHVSQSA-N,-6.3,-5.9,-6.5
GDLBFKVLRPITMI-UHFFFAOYSA-N,-5.8,-5.5,-5.9
OIRDTQYFTABQOQ-KQYNXXCUSA-N,-5.6,-6.4,-5.7
OVTCHWSLKGENKP-UHFFFAOYSA-N,-5.8,-7.2,-5.5
QRJOQYLXZPQQMX-FWROMSNXSA-N,-5.7,-7.3,-5.7
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,-3.3,-3.6,-3.3
DCXYFEDJOCDNAF-REOHCLBHSA-N,-4.4,-5.0,-4.3
NGGMYCMLYOUNGM-CSDLUJIJSA-N,-5.2,-6.9,-6.9
WGFOBBZOWHGYQH-MXHNKVEKSA-N,-5.6,-6.2,-6.5
TZWKUQDQKPYNLL-UHFFFAOYSA-N,-5.3,-5.6,-5.9
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,-4.9,-5.5,-5.1
CAMYKONBWHRPDD-UHFFFAOYSA-N,-4.9,-5.3,-5.2
SUHOQUVVVLNYQR-MRVPVSSYSA-N,-4.2,-5.0,-4.4
LWRDQHOZTAOILO-UHFFFAOYSA-N,-4.8,-6.0,-5.9
BELBBZDIHDAJOR-UHFFFAOYSA-N,-5.8,-6.9,-6.7
MDNWOSOZYLHTCG-UHFFFAOYSA-N,-6.0,-5.7,-6.0
SGTNSNPWRIOYBX-MHZLTWQESA-N,-4.7,-6.2,-5.1
OYHQOLUKZRVURQ-HZJYTTRNSA-N,-4.2,-4.2,-4.5
ZGXJTSGNIOSYLO-UHFFFAOYSA-N,-4.2,-4.5,-4.1
YVWGMAFXEJHFRO-UHFFFAOYSA-N,-4.3,-3.8,-4.4
WTDGMHYYGNJEKQ-ZETCQYMHSA-N,-4.9,-4.5,-5.2
DLEGDLSLRSOURQ-UHFFFAOYSA-N,-4.1,-4.0,-4.1
OWQUZNMMYNAXSL-UHFFFAOYSA-N,-6.3,-5.8,-6.5
IMOLVSPMDGCLMB-UHFFFAOYSA-N,-6.7,-7.2,-6.8
VZCYOOQTPOCHFL-OWOJBTEDSA-N,-4.2,-4.5,-4.2
