ligand,E1,E2,E3
KBFBRIPYVVGWRS-OAHLLOKOSA-N,-7.3,-7.9,-7.9
VFKZTMPDYBFSTM-KVTDHHQDSA-N,-4.5,-4.8,-5.0
CVWILQHZFWRYPB-UHFFFAOYSA-N,-5.3,-5.3,-5.5
QDIYJDPBMZUZEH-UHFFFAOYSA-O,-7.1,-7.4,-7.2
ZPAKPRAICRBAOD-UHFFFAOYSA-N,-7.0,-7.5,-8.1
WMJPAYUKEVEBCN-UHFFFAOYSA-N,-5.5,-5.4,-5.8
XSPUSVIQHBDITA-RKYNPMAHSA-N,-7.5,-7.8,-8.3
DBEPLOCGEIEOCV-WSBQPABSSA-N,-7.9,-8.1,-8.9
KZNICNPSHKQLFF-UHFFFAOYSA-N,-4.7,-4.3,-4.5
SBBDHANTMHIRGW-QMMMGPOBSA-N,-6.3,-6.2,-5.7
NPPQSCRMBWNHMW-UHFFFAOYSA-N,-5.7,-5.5,-6.1
DNKPFCQEGBJJTE-UHFFFAOYSA-N,-3.2,-3.3,-3.6
QNQZBKQEIFTHFZ-GOSISDBHSA-N,-6.9,-6.9,-7.4
QLTVVOATEHFXLT-VIFPVBQESA-N,-6.6,-6.4,-6.5
DRMHNJGOEAYOIZ-CYBMUJFWSA-N,-6.3,-6.4,-6.5
JLKIGFTWXXRPMT-UHFFFAOYSA-N,-7.5,-7.1,-7.6
RQAITHJHUFFEIV-SNVBAGLBSA-N,-6.5,-6.3,-6.2
DVEQCIBLXRSYPH-LLVKDONJSA-N,-6.5,-7.3,-7.3
HHRZAEJMHSGZNP-SSDOTTSWSA-N,-5.4,-5.6,-6.0
CAHKINHBCWCHCF-JTQLQIEISA-N,-6.3,-6.9,-6.9
LSAOZCAKUIANSQ-UHFFFAOYSA-N,-7.3,-6.8,-7.8
QXWYKJLNLSIPIN-JGVFFNPUSA-N,-6.0,-6.3,-6.7
NBOMNTLFRHMDEZ-UHFFFAOYSA-N,-4.9,-4.8,-5.5
VWLHWLSRQJQWRG-UHFFFAOYSA-O,-5.3,-5.5,-6.2
DBHODFSFBXJZNY-UHFFFAOYSA-N,-4.9,-5.2,-5.7
