ligand,E1,E2,E3
VWLHWLSRQJQWRG-UHFFFAOYSA-O,-5.3,-5.5,-6.2
RQAITHJHUFFEIV-SNVBAGLBSA-N,-6.5,-6.4,-6.2
CAHKINHBCWCHCF-JTQLQIEISA-N,-6.6,-6.9,-6.9
DVEQCIBLXRSYPH-LLVKDONJSA-N,-7.0,-7.6,-7.3
QNQZBKQEIFTHFZ-GOSISDBHSA-N,-6.9,-7.0,-7.2
DBHODFSFBXJZNY-UHFFFAOYSA-N,-4.9,-5.2,-5.7
WMJPAYUKEVEBCN-UHFFFAOYSA-N,-5.5,-5.4,-5.8
LSAOZCAKUIANSQ-UHFFFAOYSA-N,-7.2,-6.8,-7.8
QLTVVOATEHFXLT-VIFPVBQESA-N,-6.6,-6.4,-6.5
ZPAKPRAICRBAOD-UHFFFAOYSA-N,-7.0,-7.3,-8.0
KBFBRIPYVVGWRS-OAHLLOKOSA-N,-7.3,-7.9,-8.0
DBEPLOCGEIEOCV-WSBQPABSSA-N,-7.8,-8.1,-9.0
HHRZAEJMHSGZNP-SSDOTTSWSA-N,-5.4,-5.6,-6.0
NPPQSCRMBWNHMW-UHFFFAOYSA-N,-5.5,-5.6,-6.0
SBBDHANTMHIRGW-QMMMGPOBSA-N,-6.7,-6.2,-5.8
XSPUSVIQHBDITA-RKYNPMAHSA-N,-7.6,-7.6,-8.4
JLKIGFTWXXRPMT-UHFFFAOYSA-N,-7.4,-7.1,-7.6
CVWILQHZFWRYPB-UHFFFAOYSA-N,-5.3,-5.3,-5.5
QXWYKJLNLSIPIN-JGVFFNPUSA-N,-6.0,-6.3,-6.7
QDIYJDPBMZUZEH-UHFFFAOYSA-O,-7.0,-7.4,-7.0
VFKZTMPDYBFSTM-KVTDHHQDSA-N,-4.7,-4.9,-5.0
DRMHNJGOEAYOIZ-CYBMUJFWSA-N,-6.2,-6.4,-7.0
DNKPFCQEGBJJTE-UHFFFAOYSA-N,-3.2,-3.3,-3.6
KZNICNPSHKQLFF-UHFFFAOYSA-N,-4.7,-4.3,-4.5
NBOMNTLFRHMDEZ-UHFFFAOYSA-N,-4.9,-4.9,-5.5
