ligand,E1,E2,E3
ZEAJXCPGHPJVNP-GFCCVEGCSA-N,-5.7,-6.1,-5.5
GIKNHHRFLCDOEU-SSDOTTSWSA-N,-4.4,-5.3,-4.4
PHWBOXQYWZNQIN-UHFFFAOYSA-N,-5.6,-6.1,-5.3
XWVOEFLBOSSYGM-UHFFFAOYSA-N,-5.2,-5.4,-4.5
HCYAFALTSJYZDH-UHFFFAOYSA-N,-5.5,-6.1,-4.8
FUSNMLFNXJSCDI-UHFFFAOYSA-N,-6.5,-7.1,-6.2
JCBQCKFFSPGEDY-OAQYLSRUSA-N,-6.9,-6.2,-5.8
SRVJKTDHMYAMHA-UHFFFAOYSA-N,-5.1,-6.2,-5.2
WVYADZUPLLSGPU-UHFFFAOYSA-N,-6.4,-6.7,-5.7
DZQVFHSCSRACSX-UHFFFAOYSA-N,-5.9,-6.3,-5.8
NFDFQCUYFHCNBW-SCGPFSFSSA-N,-6.3,-6.3,-5.2
QOIGKGMMAGJZNZ-UHFFFAOYSA-N,-6.5,-6.6,-5.9
BNFRJXLZYUTIII-UHFFFAOYSA-N,-6.9,-6.7,-6.0
SYAKTDIEAPMBAL-QMMMGPOBSA-N,-4.9,-5.6,-4.5
IWUCXVSUMQZMFG-AFCXAGJDSA-N,-5.7,-5.8,-5.4
DMIMZHGXWWCGBD-UHFFFAOYSA-N,-4.7,-5.6,-4.3
QHGUCRYDKWKLMG-QMMMGPOBSA-N,-4.5,-5.0,-4.9
DFPAKSUCGFBDDF-UHFFFAOYSA-N,-4.2,-4.6,-4.2
AYXYPKUFHZROOJ-ZETCQYMHSA-N,-4.2,-4.8,-4.6
FOIPWTMKYXWFGC-UHFFFAOYSA-N,-4.7,-4.5,-4.7
AVWWVJUMXRXPNF-UHFFFAOYSA-N,-4.7,-5.4,-5.1
VNQABZCSYCTZMS-UHFFFAOYSA-N,-5.0,-5.0,-4.7
XRCFXMGQEVUZFC-UHFFFAOYSA-N,-6.1,-6.9,-5.8
ZCBJDQBSLZREAA-UHFFFAOYSA-N,-7.3,-6.7,-6.2
