ligand,E1,E2,E3
AVWWVJUMXRXPNF-UHFFFAOYSA-N,-6.5,-6.9,-7.4
QOIGKGMMAGJZNZ-UHFFFAOYSA-N,-7.7,-6.9,-8.3
FOIPWTMKYXWFGC-UHFFFAOYSA-N,-5.7,-5.4,-5.2
XRCFXMGQEVUZFC-UHFFFAOYSA-N,-6.8,-7.7,-7.7
GIKNHHRFLCDOEU-SSDOTTSWSA-N,-4.9,-5.4,-5.6
PHWBOXQYWZNQIN-UHFFFAOYSA-N,-5.8,-6.8,-7.4
ZCBJDQBSLZREAA-UHFFFAOYSA-N,-8.1,-9.1,-8.1
NFDFQCUYFHCNBW-SCGPFSFSSA-N,-7.6,-7.6,-7.7
SYAKTDIEAPMBAL-QMMMGPOBSA-N,-5.7,-6.0,-6.1
JCBQCKFFSPGEDY-OAQYLSRUSA-N,-7.9,-7.6,-7.1
HCYAFALTSJYZDH-UHFFFAOYSA-N,-6.7,-6.4,-7.8
XWVOEFLBOSSYGM-UHFFFAOYSA-N,-6.1,-6.1,-7.1
AYXYPKUFHZROOJ-ZETCQYMHSA-N,-4.8,-4.8,-5.2
DZQVFHSCSRACSX-UHFFFAOYSA-N,-7.3,-7.2,-7.7
QHGUCRYDKWKLMG-QMMMGPOBSA-N,-5.0,-5.4,-5.8
DMIMZHGXWWCGBD-UHFFFAOYSA-N,-5.7,-5.5,-5.7
BNFRJXLZYUTIII-UHFFFAOYSA-N,-7.7,-8.0,-8.5
WVYADZUPLLSGPU-UHFFFAOYSA-N,-6.8,-7.6,-8.1
VNQABZCSYCTZMS-UHFFFAOYSA-N,-5.3,-5.7,-5.9
IWUCXVSUMQZMFG-AFCXAGJDSA-N,-7.1,-6.6,-6.7
ZEAJXCPGHPJVNP-GFCCVEGCSA-N,-6.9,-6.8,-7.2
FUSNMLFNXJSCDI-UHFFFAOYSA-N,-7.4,-7.1,-9.3
DFPAKSUCGFBDDF-UHFFFAOYSA-N,-5.0,-5.1,-5.1
SRVJKTDHMYAMHA-UHFFFAOYSA-N,-5.9,-5.9,-6.0
