ligand,E1,E2,E3
WVYADZUPLLSGPU-UHFFFAOYSA-N,-7.7,-6.9,-5.9
IWUCXVSUMQZMFG-AFCXAGJDSA-N,-6.4,-5.9,-5.7
XRCFXMGQEVUZFC-UHFFFAOYSA-N,-8.1,-7.3,-6.5
SRVJKTDHMYAMHA-UHFFFAOYSA-N,-6.8,-5.8,-5.0
FUSNMLFNXJSCDI-UHFFFAOYSA-N,-9.0,-8.3,-5.9
NFDFQCUYFHCNBW-SCGPFSFSSA-N,-7.9,-7.8,-5.5
DMIMZHGXWWCGBD-UHFFFAOYSA-N,-6.1,-4.7,-4.7
AVWWVJUMXRXPNF-UHFFFAOYSA-N,-7.3,-6.3,-5.3
PHWBOXQYWZNQIN-UHFFFAOYSA-N,-7.2,-6.7,-5.8
BNFRJXLZYUTIII-UHFFFAOYSA-N,-8.4,-8.5,-6.4
ZEAJXCPGHPJVNP-GFCCVEGCSA-N,-7.6,-6.4,-5.1
QHGUCRYDKWKLMG-QMMMGPOBSA-N,-5.8,-4.8,-4.1
XWVOEFLBOSSYGM-UHFFFAOYSA-N,-6.3,-5.8,-5.0
ZCBJDQBSLZREAA-UHFFFAOYSA-N,-9.6,-9.7,-6.2
GIKNHHRFLCDOEU-SSDOTTSWSA-N,-5.7,-4.8,-4.4
FOIPWTMKYXWFGC-UHFFFAOYSA-N,-4.9,-4.5,-4.1
JCBQCKFFSPGEDY-OAQYLSRUSA-N,-9.3,-8.2,-6.4
HCYAFALTSJYZDH-UHFFFAOYSA-N,-7.4,-7.1,-5.5
DFPAKSUCGFBDDF-UHFFFAOYSA-N,-5.4,-4.1,-4.1
VNQABZCSYCTZMS-UHFFFAOYSA-N,-5.9,-4.8,-4.7
DZQVFHSCSRACSX-UHFFFAOYSA-N,-7.5,-6.3,-5.5
SYAKTDIEAPMBAL-QMMMGPOBSA-N,-6.3,-5.1,-4.9
AYXYPKUFHZROOJ-ZETCQYMHSA-N,-5.2,-4.0,-4.0
QOIGKGMMAGJZNZ-UHFFFAOYSA-N,-8.3,-8.1,-6.6
