ligand,E1,E2,E3
DZQVFHSCSRACSX-UHFFFAOYSA-N,-6.4,-5.3,-5.8
SYAKTDIEAPMBAL-QMMMGPOBSA-N,-5.8,-4.7,-5.2
PHWBOXQYWZNQIN-UHFFFAOYSA-N,-6.2,-4.9,-5.6
FOIPWTMKYXWFGC-UHFFFAOYSA-N,-4.5,-4.1,-4.4
NFDFQCUYFHCNBW-SCGPFSFSSA-N,-6.7,-5.5,-5.9
QHGUCRYDKWKLMG-QMMMGPOBSA-N,-5.1,-4.4,-4.6
XWVOEFLBOSSYGM-UHFFFAOYSA-N,-5.8,-4.8,-4.8
IWUCXVSUMQZMFG-AFCXAGJDSA-N,-6.0,-5.2,-5.2
AVWWVJUMXRXPNF-UHFFFAOYSA-N,-5.7,-4.5,-5.9
GIKNHHRFLCDOEU-SSDOTTSWSA-N,-5.0,-4.3,-4.3
DMIMZHGXWWCGBD-UHFFFAOYSA-N,-5.0,-4.7,-4.3
WVYADZUPLLSGPU-UHFFFAOYSA-N,-7.2,-6.0,-6.0
ZCBJDQBSLZREAA-UHFFFAOYSA-N,-7.3,-6.1,-6.4
AYXYPKUFHZROOJ-ZETCQYMHSA-N,-4.8,-4.2,-3.9
JCBQCKFFSPGEDY-OAQYLSRUSA-N,-7.0,-6.8,-5.7
VNQABZCSYCTZMS-UHFFFAOYSA-N,-5.1,-4.3,-4.6
QOIGKGMMAGJZNZ-UHFFFAOYSA-N,-7.0,-6.0,-6.3
HCYAFALTSJYZDH-UHFFFAOYSA-N,-6.5,-5.7,-5.2
SRVJKTDHMYAMHA-UHFFFAOYSA-N,-5.1,-4.9,-4.8
FUSNMLFNXJSCDI-UHFFFAOYSA-N,-7.6,-6.1,-6.7
DFPAKSUCGFBDDF-UHFFFAOYSA-N,-5.0,-4.1,-4.0
BNFRJXLZYUTIII-UHFFFAOYSA-N,-6.8,-6.4,-6.4
ZEAJXCPGHPJVNP-GFCCVEGCSA-N,-6.3,-5.1,-5.2
XRCFXMGQEVUZFC-UHFFFAOYSA-N,-7.5,-5.7,-6.0
