ligand,E1,E2,E3
IWUCXVSUMQZMFG-AFCXAGJDSA-N,-6.3,-5.5,-4.9
AVWWVJUMXRXPNF-UHFFFAOYSA-N,-6.0,-5.8,-5.4
GIKNHHRFLCDOEU-SSDOTTSWSA-N,-5.5,-5.1,-5.3
QOIGKGMMAGJZNZ-UHFFFAOYSA-N,-6.6,-6.6,-6.0
FOIPWTMKYXWFGC-UHFFFAOYSA-N,-4.6,-4.6,-3.8
HCYAFALTSJYZDH-UHFFFAOYSA-N,-6.5,-6.0,-5.6
DFPAKSUCGFBDDF-UHFFFAOYSA-N,-4.9,-4.6,-4.5
VNQABZCSYCTZMS-UHFFFAOYSA-N,-5.5,-5.2,-4.8
WVYADZUPLLSGPU-UHFFFAOYSA-N,-7.5,-6.1,-6.0
ZCBJDQBSLZREAA-UHFFFAOYSA-N,-8.5,-6.6,-6.4
JCBQCKFFSPGEDY-OAQYLSRUSA-N,-7.1,-6.6,-5.4
XRCFXMGQEVUZFC-UHFFFAOYSA-N,-7.2,-6.0,-6.0
BNFRJXLZYUTIII-UHFFFAOYSA-N,-7.7,-7.2,-6.6
DMIMZHGXWWCGBD-UHFFFAOYSA-N,-5.8,-5.3,-4.4
SRVJKTDHMYAMHA-UHFFFAOYSA-N,-6.6,-6.0,-5.1
FUSNMLFNXJSCDI-UHFFFAOYSA-N,-7.5,-6.5,-6.6
DZQVFHSCSRACSX-UHFFFAOYSA-N,-6.6,-5.9,-5.9
NFDFQCUYFHCNBW-SCGPFSFSSA-N,-7.5,-6.2,-5.7
PHWBOXQYWZNQIN-UHFFFAOYSA-N,-6.2,-6.2,-5.5
QHGUCRYDKWKLMG-QMMMGPOBSA-N,-5.2,-5.2,-4.8
ZEAJXCPGHPJVNP-GFCCVEGCSA-N,-6.1,-6.4,-6.0
AYXYPKUFHZROOJ-ZETCQYMHSA-N,-4.8,-4.6,-4.3
XWVOEFLBOSSYGM-UHFFFAOYSA-N,-6.5,-5.7,-4.7
SYAKTDIEAPMBAL-QMMMGPOBSA-N,-5.8,-5.2,-5.0
