ligand,E1,E2,E3
XRCFXMGQEVUZFC-UHFFFAOYSA-N,-7.9,-6.8,-5.7
GIKNHHRFLCDOEU-SSDOTTSWSA-N,-5.8,-4.9,-5.3
XWVOEFLBOSSYGM-UHFFFAOYSA-N,-7.1,-5.9,-4.9
VNQABZCSYCTZMS-UHFFFAOYSA-N,-5.9,-5.6,-5.4
ZEAJXCPGHPJVNP-GFCCVEGCSA-N,-7.1,-6.5,-5.4
QOIGKGMMAGJZNZ-UHFFFAOYSA-N,-8.4,-6.5,-6.2
BNFRJXLZYUTIII-UHFFFAOYSA-N,-8.6,-6.6,-5.8
QHGUCRYDKWKLMG-QMMMGPOBSA-N,-5.8,-5.6,-5.2
AVWWVJUMXRXPNF-UHFFFAOYSA-N,-7.5,-5.9,-4.7
FOIPWTMKYXWFGC-UHFFFAOYSA-N,-5.5,-5.4,-4.5
SYAKTDIEAPMBAL-QMMMGPOBSA-N,-6.0,-5.9,-5.4
AYXYPKUFHZROOJ-ZETCQYMHSA-N,-5.4,-5.0,-4.8
JCBQCKFFSPGEDY-OAQYLSRUSA-N,-6.9,-6.6,-6.0
FUSNMLFNXJSCDI-UHFFFAOYSA-N,-9.4,-7.4,-6.3
DFPAKSUCGFBDDF-UHFFFAOYSA-N,-5.1,-5.0,-5.1
WVYADZUPLLSGPU-UHFFFAOYSA-N,-8.3,-6.4,-6.4
IWUCXVSUMQZMFG-AFCXAGJDSA-N,-6.6,-5.9,-6.1
SRVJKTDHMYAMHA-UHFFFAOYSA-N,-6.2,-5.5,-5.4
DZQVFHSCSRACSX-UHFFFAOYSA-N,-7.7,-7.1,-5.7
NFDFQCUYFHCNBW-SCGPFSFSSA-N,-7.9,-6.1,-6.2
HCYAFALTSJYZDH-UHFFFAOYSA-N,-7.4,-6.5,-5.6
ZCBJDQBSLZREAA-UHFFFAOYSA-N,-8.3,-7.6,-6.7
DMIMZHGXWWCGBD-UHFFFAOYSA-N,-5.7,-5.5,-5.0
PHWBOXQYWZNQIN-UHFFFAOYSA-N,-7.5,-6.0,-5.5
