ligand,E1,E2,E3
QHGUCRYDKWKLMG-QMMMGPOBSA-N,-5.7,-5.0,-4.7
SYAKTDIEAPMBAL-QMMMGPOBSA-N,-6.1,-5.2,-5.2
XWVOEFLBOSSYGM-UHFFFAOYSA-N,-6.4,-5.6,-6.3
AVWWVJUMXRXPNF-UHFFFAOYSA-N,-6.6,-5.9,-5.0
FUSNMLFNXJSCDI-UHFFFAOYSA-N,-8.1,-7.0,-6.9
WVYADZUPLLSGPU-UHFFFAOYSA-N,-8.2,-6.6,-6.8
SRVJKTDHMYAMHA-UHFFFAOYSA-N,-6.7,-5.4,-5.9
DMIMZHGXWWCGBD-UHFFFAOYSA-N,-5.9,-4.6,-5.1
AYXYPKUFHZROOJ-ZETCQYMHSA-N,-5.1,-4.3,-4.1
PHWBOXQYWZNQIN-UHFFFAOYSA-N,-7.1,-5.6,-6.7
VNQABZCSYCTZMS-UHFFFAOYSA-N,-6.0,-5.4,-5.2
NFDFQCUYFHCNBW-SCGPFSFSSA-N,-7.8,-5.7,-6.5
IWUCXVSUMQZMFG-AFCXAGJDSA-N,-6.8,-5.8,-6.3
GIKNHHRFLCDOEU-SSDOTTSWSA-N,-5.6,-5.1,-5.0
XRCFXMGQEVUZFC-UHFFFAOYSA-N,-7.3,-6.1,-6.9
BNFRJXLZYUTIII-UHFFFAOYSA-N,-7.9,-7.8,-7.4
FOIPWTMKYXWFGC-UHFFFAOYSA-N,-5.6,-4.7,-5.3
DZQVFHSCSRACSX-UHFFFAOYSA-N,-7.2,-6.4,-6.1
ZEAJXCPGHPJVNP-GFCCVEGCSA-N,-6.9,-5.6,-6.6
QOIGKGMMAGJZNZ-UHFFFAOYSA-N,-7.6,-6.6,-6.6
ZCBJDQBSLZREAA-UHFFFAOYSA-N,-8.8,-7.5,-8.6
HCYAFALTSJYZDH-UHFFFAOYSA-N,-7.3,-6.2,-6.8
JCBQCKFFSPGEDY-OAQYLSRUSA-N,-7.4,-6.4,-7.3
DFPAKSUCGFBDDF-UHFFFAOYSA-N,-5.1,-4.4,-4.5
