ligand,E1,E2,E3
IWYDHOAUDWTVEP-SSDOTTSWSA-N,-5.9,-5.7,-5.3
WZHJKEUHNJHDLS-QTGUNEKASA-N,-9.9,-8.6,-7.2
MIQPIUSUKVNLNT-UHFFFAOYSA-N,-8.4,-6.9,-6.8
GWWLWDURRGNSRS-UHFFFAOYSA-N,-7.7,-6.0,-6.2
JCRIVQIOJSSCQD-VIFPVBQESA-N,-5.7,-4.6,-4.1
FTALBRSUTCGOEG-UHFFFAOYSA-N,-6.8,-6.2,-5.5
IPWKIXLWTCNBKN-ZCFIWIBFSA-N,-5.9,-5.2,-4.8
BGEBZHIAGXMEMV-UHFFFAOYSA-N,-7.1,-6.4,-5.7
QYSGYZVSCZSLHT-UHFFFAOYSA-N,-5.4,-5.1,-4.3
QNQZBKQEIFTHFZ-SFHVURJKSA-N,-6.9,-5.9,-5.6
NIVFTEMPSCMWDE-QMMMGPOBSA-N,-6.1,-5.1,-4.8
GHBFNMLVSPCDGN-SNVBAGLBSA-N,-5.4,-5.0,-5.2
XBPZXDSZHPDXQU-UHFFFAOYSA-N,-8.0,-7.3,-6.4
GOAZMLKQUGCOPO-UHFFFAOYSA-N,-7.6,-5.5,-5.7
UUVIQYKKKBJYJT-ZYUZMQFOSA-N,-6.2,-5.7,-4.5
VZCCETWTMQHEPK-QNEBEIHSSA-N,-6.8,-6.1,-4.5
WTWWXOGTJWMJHI-UHFFFAOYSA-N,-8.0,-5.9,-5.4
XASIMHXSUQUHLV-UHFFFAOYSA-N,-8.6,-7.1,-6.2
AEUTYOVWOVBAKS-UWVGGRQHSA-N,-5.4,-4.2,-4.0
DVNYTAVYBRSTGK-UHFFFAOYSA-N,-5.0,-4.4,-4.7
JWJOTENAMICLJG-QWBYCMEYSA-N,-11.1,-8.7,-7.5
GEFQWZLICWMTKF-CDUCUWFYSA-N,-6.5,-5.6,-5.9
ANJNOJFLVNXCHT-UHFFFAOYSA-N,-8.8,-7.0,-6.0
ICFJFFQQTFMIBG-UHFFFAOYSA-N,-7.1,-6.1,-5.9
LMBWSYZSUOEYSN-UHFFFAOYSA-N,-3.9,-3.2,-3.0
GJQPMPFPNINLKP-UHFFFAOYSA-N,-6.6,-6.7,-5.4
