ligand,E1,E2,E3
WZHJKEUHNJHDLS-QTGUNEKASA-N,-9.5,-9.2,-9.5
XBPZXDSZHPDXQU-UHFFFAOYSA-N,-8.4,-8.8,-8.4
WTWWXOGTJWMJHI-UHFFFAOYSA-N,-8.4,-7.8,-7.7
ANJNOJFLVNXCHT-UHFFFAOYSA-N,-8.3,-7.8,-7.7
FTALBRSUTCGOEG-UHFFFAOYSA-N,-7.1,-6.5,-6.1
AEUTYOVWOVBAKS-UWVGGRQHSA-N,-5.5,-5.5,-4.7
JWJOTENAMICLJG-QWBYCMEYSA-N,-11.7,-10.6,-11.6
IWYDHOAUDWTVEP-SSDOTTSWSA-N,-6.1,-6.2,-5.5
GJQPMPFPNINLKP-UHFFFAOYSA-N,-7.3,-7.0,-6.8
XASIMHXSUQUHLV-UHFFFAOYSA-N,-10.0,-8.6,-8.5
QNQZBKQEIFTHFZ-SFHVURJKSA-N,-7.6,-7.4,-7.3
ICFJFFQQTFMIBG-UHFFFAOYSA-N,-7.8,-7.2,-7.0
MIQPIUSUKVNLNT-UHFFFAOYSA-N,-8.5,-8.9,-8.1
GWWLWDURRGNSRS-UHFFFAOYSA-N,-8.4,-8.3,-8.3
NIVFTEMPSCMWDE-QMMMGPOBSA-N,-6.8,-6.5,-5.4
GEFQWZLICWMTKF-CDUCUWFYSA-N,-6.7,-6.7,-5.8
UUVIQYKKKBJYJT-ZYUZMQFOSA-N,-8.0,-7.1,-6.4
QYSGYZVSCZSLHT-UHFFFAOYSA-N,-5.3,-5.1,-4.9
LMBWSYZSUOEYSN-UHFFFAOYSA-N,-3.7,-3.6,-3.2
VZCCETWTMQHEPK-QNEBEIHSSA-N,-6.8,-6.3,-6.0
GHBFNMLVSPCDGN-SNVBAGLBSA-N,-5.4,-5.4,-5.7
GOAZMLKQUGCOPO-UHFFFAOYSA-N,-7.1,-7.4,-7.1
IPWKIXLWTCNBKN-ZCFIWIBFSA-N,-6.4,-6.4,-5.6
BGEBZHIAGXMEMV-UHFFFAOYSA-N,-7.8,-7.7,-6.6
DVNYTAVYBRSTGK-UHFFFAOYSA-N,-5.4,-5.8,-5.0
JCRIVQIOJSSCQD-VIFPVBQESA-N,-5.6,-5.4,-5.2
