ligand,E1,E2,E3
WZHJKEUHNJHDLS-QTGUNEKASA-N,-9.5,-9.4,-9.5
DVNYTAVYBRSTGK-UHFFFAOYSA-N,-5.3,-5.8,-5.0
JWJOTENAMICLJG-QWBYCMEYSA-N,-10.8,-10.5,-11.7
ICFJFFQQTFMIBG-UHFFFAOYSA-N,-7.6,-7.4,-7.0
FTALBRSUTCGOEG-UHFFFAOYSA-N,-7.1,-6.7,-6.2
JCRIVQIOJSSCQD-VIFPVBQESA-N,-5.6,-5.4,-5.3
XBPZXDSZHPDXQU-UHFFFAOYSA-N,-8.4,-8.8,-8.3
AEUTYOVWOVBAKS-UWVGGRQHSA-N,-5.6,-5.6,-4.5
VZCCETWTMQHEPK-QNEBEIHSSA-N,-5.6,-6.3,-6.3
LMBWSYZSUOEYSN-UHFFFAOYSA-N,-3.6,-3.5,-3.2
GJQPMPFPNINLKP-UHFFFAOYSA-N,-7.4,-6.9,-6.8
NIVFTEMPSCMWDE-QMMMGPOBSA-N,-6.8,-6.6,-5.5
GHBFNMLVSPCDGN-SNVBAGLBSA-N,-5.4,-5.7,-5.6
BGEBZHIAGXMEMV-UHFFFAOYSA-N,-7.2,-7.7,-7.4
IWYDHOAUDWTVEP-SSDOTTSWSA-N,-6.0,-6.2,-5.5
IPWKIXLWTCNBKN-ZCFIWIBFSA-N,-6.6,-6.0,-5.8
GEFQWZLICWMTKF-CDUCUWFYSA-N,-6.6,-6.7,-5.8
MIQPIUSUKVNLNT-UHFFFAOYSA-N,-8.4,-8.9,-8.2
WTWWXOGTJWMJHI-UHFFFAOYSA-N,-8.5,-7.8,-7.9
QYSGYZVSCZSLHT-UHFFFAOYSA-N,-5.3,-5.1,-5.0
XASIMHXSUQUHLV-UHFFFAOYSA-N,-9.5,-8.1,-8.6
QNQZBKQEIFTHFZ-SFHVURJKSA-N,-7.7,-7.5,-7.4
ANJNOJFLVNXCHT-UHFFFAOYSA-N,-8.3,-8.0,-8.0
GWWLWDURRGNSRS-UHFFFAOYSA-N,-8.4,-8.3,-8.3
UUVIQYKKKBJYJT-ZYUZMQFOSA-N,-7.2,-7.0,-6.8
GOAZMLKQUGCOPO-UHFFFAOYSA-N,-7.2,-7.4,-7.1
