ligand,E1,E2,E3
GEFQWZLICWMTKF-CDUCUWFYSA-N,-4.9,-5.3,-4.6
WZHJKEUHNJHDLS-QTGUNEKASA-N,-5.3,-6.8,-7.1
MIQPIUSUKVNLNT-UHFFFAOYSA-N,-5.7,-7.1,-6.0
AEUTYOVWOVBAKS-UWVGGRQHSA-N,-3.8,-4.7,-4.4
BGEBZHIAGXMEMV-UHFFFAOYSA-N,-5.0,-6.6,-5.5
UUVIQYKKKBJYJT-ZYUZMQFOSA-N,-4.8,-5.6,-5.2
XASIMHXSUQUHLV-UHFFFAOYSA-N,-6.6,-7.5,-6.1
XBPZXDSZHPDXQU-UHFFFAOYSA-N,-5.2,-6.6,-5.9
DVNYTAVYBRSTGK-UHFFFAOYSA-N,-4.4,-5.2,-4.9
NIVFTEMPSCMWDE-QMMMGPOBSA-N,-4.9,-5.2,-4.6
JCRIVQIOJSSCQD-VIFPVBQESA-N,-4.1,-4.5,-3.6
ICFJFFQQTFMIBG-UHFFFAOYSA-N,-5.3,-6.4,-5.4
QYSGYZVSCZSLHT-UHFFFAOYSA-N,-4.5,-4.5,-4.5
GOAZMLKQUGCOPO-UHFFFAOYSA-N,-5.0,-5.9,-4.7
IWYDHOAUDWTVEP-SSDOTTSWSA-N,-4.4,-5.5,-4.9
IPWKIXLWTCNBKN-ZCFIWIBFSA-N,-4.1,-5.7,-4.5
GJQPMPFPNINLKP-UHFFFAOYSA-N,-4.7,-7.1,-5.5
FTALBRSUTCGOEG-UHFFFAOYSA-N,-4.7,-7.0,-4.6
LMBWSYZSUOEYSN-UHFFFAOYSA-N,-2.7,-3.5,-2.8
ANJNOJFLVNXCHT-UHFFFAOYSA-N,-5.7,-6.2,-5.4
VZCCETWTMQHEPK-QNEBEIHSSA-N,-4.9,-5.3,-4.2
QNQZBKQEIFTHFZ-SFHVURJKSA-N,-4.8,-6.1,-4.9
WTWWXOGTJWMJHI-UHFFFAOYSA-N,-5.3,-5.8,-4.6
GWWLWDURRGNSRS-UHFFFAOYSA-N,-5.2,-5.5,-5.7
GHBFNMLVSPCDGN-SNVBAGLBSA-N,-3.6,-5.3,-3.9
JWJOTENAMICLJG-QWBYCMEYSA-N,-7.6,-7.4,-7.7
