ligand,energy,binding score
MIQPIUSUKVNLNT-UHFFFAOYSA-N,-8.4,51272.26
IPWKIXLWTCNBKN-ZCFIWIBFSA-N,-5.9,48600.8
GJQPMPFPNINLKP-UHFFFAOYSA-N,-6.8,42538.73
QYSGYZVSCZSLHT-UHFFFAOYSA-N,-5.4,56195.04
ANJNOJFLVNXCHT-UHFFFAOYSA-N,-8.7,33147.36
JCRIVQIOJSSCQD-VIFPVBQESA-N,-5.7,40604.46
FTALBRSUTCGOEG-UHFFFAOYSA-N,-6.8,39170.04
VZCCETWTMQHEPK-QNEBEIHSSA-N,-7.0,46963.49
WTWWXOGTJWMJHI-UHFFFAOYSA-N,-8.0,55531.26
XASIMHXSUQUHLV-UHFFFAOYSA-N,-9.0,27342.04
AEUTYOVWOVBAKS-UWVGGRQHSA-N,-5.6,53888.63
GOAZMLKQUGCOPO-UHFFFAOYSA-N,-7.5,64262.11
GWWLWDURRGNSRS-UHFFFAOYSA-N,-7.8,46113.08
UUVIQYKKKBJYJT-ZYUZMQFOSA-N,-6.4,54122.95
NIVFTEMPSCMWDE-QMMMGPOBSA-N,-6.1,52780.72
XBPZXDSZHPDXQU-UHFFFAOYSA-N,-7.9,59183.72
IWYDHOAUDWTVEP-SSDOTTSWSA-N,-5.9,64457.27
BGEBZHIAGXMEMV-UHFFFAOYSA-N,-7.1,59229.86
GEFQWZLICWMTKF-CDUCUWFYSA-N,-6.5,51599.45
LMBWSYZSUOEYSN-UHFFFAOYSA-N,-3.9,62159.21
JWJOTENAMICLJG-QWBYCMEYSA-N,-11.1,27888.54
QNQZBKQEIFTHFZ-SFHVURJKSA-N,-6.5,27000.0
WZHJKEUHNJHDLS-QTGUNEKASA-N,-10.0,50991.32
GHBFNMLVSPCDGN-SNVBAGLBSA-N,-5.1,68691.83
DVNYTAVYBRSTGK-UHFFFAOYSA-N,-5.0,63134.08
ICFJFFQQTFMIBG-UHFFFAOYSA-N,-7.0,22556.13
JOWRFSPJFXLGGY-VIFPVBQESA-N,-6.8,46020.46
YGSDEFSMJLZEOE-UHFFFAOYSA-N,-5.8,54732.34
JLMHZVYLAQPMOZ-UHFFFAOYSA-N,-3.9,41746.53
OIRDTQYFTABQOQ-UHTZMRCNSA-N,-7.3,56336.9
KWBTZIFLQYYPTH-UHFFFAOYSA-N,-6.8,48361.78
KXRZBTAEDBELFD-UHFFFAOYSA-N,-7.4,42685.46
QXLPXWSKPNOQLE-ZCFIWIBFSA-N,-4.5,41618.11
UIEATEWHFDRYRU-XMMPIXPASA-N,-6.9,58575.82
