ligand,energy,binding score
XKFZYVWWXHCHIX-UHFFFAOYSA-N,-5.1,19736.77
KXRZBTAEDBELFD-UHFFFAOYSA-N,-7.2,20295.82
LAYVFLWAVIGDLK-LJQANCHMSA-N,-7.8,17841.22
ZBNBQISDCFIEQC-UHFFFAOYSA-N,-5.4,33372.32
WQABCVAJNWAXTE-VKHMYHEASA-N,-3.1,35279.48
MPDGHEJMBKOTSU-YKLVYJNSSA-N,-11.5,8487.23
RWWYLEGWBNMMLJ-YSOARWBDSA-N,-9.7,33552.32
DVASNQYQOZHAJN-OAHLLOKOSA-N,-7.8,17459.96
WZNJWVWKTVETCG-YFKPBYRVSA-N,-6.1,26915.63
JLMHZVYLAQPMOZ-UHFFFAOYSA-N,-3.9,22699.26
JDLSRXWHEBFHNC-UHFFFAOYSA-N,-7.7,3419.7
QANMHLXAZMSUEX-UHFFFAOYSA-N,-6.9,16823.3
QXLPXWSKPNOQLE-ZCFIWIBFSA-N,-4.5,26738.87
YGSDEFSMJLZEOE-UHFFFAOYSA-N,-5.4,30894.47
YDBYJHTYSHBBAU-YFKPBYRVSA-O,-4.7,33576.5
YAGBSNMZQKEFCO-JTQLQIEISA-N,-5.5,30178.18
UIEATEWHFDRYRU-XMMPIXPASA-N,-7.8,37738.0
YMFGJWGABDOFID-UHFFFAOYSA-N,-6.4,4457.6
NRNCYVBFPDDJNE-ZETCQYMHSA-N,-6.0,41259.33
JOWRFSPJFXLGGY-VIFPVBQESA-N,-7.0,31585.17
OIRDTQYFTABQOQ-UHTZMRCNSA-N,-7.3,22498.16
QUBQYFYWUJJAAK-UHFFFAOYSA-N,-4.7,30852.54
KWBTZIFLQYYPTH-UHFFFAOYSA-N,-6.3,39454.32
FZRNEERXGKQYPH-UHFFFAOYSA-N,-8.5,32878.5
NGGMYCMLYOUNGM-CSDLUJIJSA-N,-9.2,31135.75
SUHOQUVVVLNYQR-MRVPVSSYSA-N,-5.2,31952.96
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,-5.3,13394.22
