ligand,energy,binding score
VZCCETWTMQHEPK-QNEBEIHSSA-N,-6.4,54212.76
WTWWXOGTJWMJHI-UHFFFAOYSA-N,-8.4,35293.98
UUVIQYKKKBJYJT-ZYUZMQFOSA-N,-6.1,60217.18
AEUTYOVWOVBAKS-UWVGGRQHSA-N,-5.4,49133.47
WZHJKEUHNJHDLS-QTGUNEKASA-N,-9.8,70696.78
IPWKIXLWTCNBKN-ZCFIWIBFSA-N,-5.0,60581.16
IWYDHOAUDWTVEP-SSDOTTSWSA-N,-6.2,57733.21
XBPZXDSZHPDXQU-UHFFFAOYSA-N,-8.3,53470.52
GEFQWZLICWMTKF-CDUCUWFYSA-N,-6.3,27387.33
QYSGYZVSCZSLHT-UHFFFAOYSA-N,-5.2,51999.41
JCRIVQIOJSSCQD-VIFPVBQESA-N,-5.6,34215.68
GOAZMLKQUGCOPO-UHFFFAOYSA-N,-7.7,31501.5
ANJNOJFLVNXCHT-UHFFFAOYSA-N,-8.7,44328.73
LMBWSYZSUOEYSN-UHFFFAOYSA-N,-3.4,42446.11
GHBFNMLVSPCDGN-SNVBAGLBSA-N,-5.9,49888.99
BGEBZHIAGXMEMV-UHFFFAOYSA-N,-6.9,70227.61
ICFJFFQQTFMIBG-UHFFFAOYSA-N,-7.5,31921.1
JWJOTENAMICLJG-QWBYCMEYSA-N,-12.5,55710.72
MIQPIUSUKVNLNT-UHFFFAOYSA-N,-8.2,55641.03
XASIMHXSUQUHLV-UHFFFAOYSA-N,-8.7,38279.66
QNQZBKQEIFTHFZ-SFHVURJKSA-N,-6.9,50717.19
FTALBRSUTCGOEG-UHFFFAOYSA-N,-6.5,31714.61
GWWLWDURRGNSRS-UHFFFAOYSA-N,-8.5,51236.62
NIVFTEMPSCMWDE-QMMMGPOBSA-N,-6.0,18344.86
GJQPMPFPNINLKP-UHFFFAOYSA-N,-6.1,59306.58
DVNYTAVYBRSTGK-UHFFFAOYSA-N,-5.2,59662.37
LAYVFLWAVIGDLK-LJQANCHMSA-N,-7.7,56142.86
YAGBSNMZQKEFCO-JTQLQIEISA-N,-6.0,51556.48
JLMHZVYLAQPMOZ-UHFFFAOYSA-N,-3.8,66842.14
WQABCVAJNWAXTE-VKHMYHEASA-N,-3.3,57269.12
KWBTZIFLQYYPTH-UHFFFAOYSA-N,-6.6,27492.26
QANMHLXAZMSUEX-UHFFFAOYSA-N,-6.8,44407.72
QXLPXWSKPNOQLE-ZCFIWIBFSA-N,-4.5,22365.92
YGSDEFSMJLZEOE-UHFFFAOYSA-N,-5.7,66821.35
KXRZBTAEDBELFD-UHFFFAOYSA-N,-7.3,61935.91
OIRDTQYFTABQOQ-UHTZMRCNSA-N,-6.6,75300.15
JDLSRXWHEBFHNC-UHFFFAOYSA-N,-8.5,37449.84
JOWRFSPJFXLGGY-VIFPVBQESA-N,-6.8,47004.88
MPDGHEJMBKOTSU-YKLVYJNSSA-N,-10.0,55211.41
NRNCYVBFPDDJNE-ZETCQYMHSA-N,-6.0,63924.99
RWWYLEGWBNMMLJ-YSOARWBDSA-N,-9.1,61761.43
YMFGJWGABDOFID-UHFFFAOYSA-N,-6.6,44604.67
QUBQYFYWUJJAAK-UHFFFAOYSA-N,-4.4,66089.57
YDBYJHTYSHBBAU-YFKPBYRVSA-O,-4.6,35333.2
WZNJWVWKTVETCG-YFKPBYRVSA-N,-5.7,66771.63
UIEATEWHFDRYRU-XMMPIXPASA-N,-8.3,54043.86
ZBNBQISDCFIEQC-UHFFFAOYSA-N,-5.2,51399.61
DVASNQYQOZHAJN-OAHLLOKOSA-N,-9.0,53196.58
