ligand,energy,binding score
NRNCYVBFPDDJNE-ZETCQYMHSA-N,-5.4,48326.73
JOWRFSPJFXLGGY-VIFPVBQESA-N,-5.8,40541.43
QXLPXWSKPNOQLE-ZCFIWIBFSA-N,-3.9,38270.9
KXRZBTAEDBELFD-UHFFFAOYSA-N,-6.2,27860.95
MPDGHEJMBKOTSU-YKLVYJNSSA-N,-9.5,14657.02
FZRNEERXGKQYPH-UHFFFAOYSA-N,-6.7,42280.42
ZBNBQISDCFIEQC-UHFFFAOYSA-N,-4.7,42731.87
WZNJWVWKTVETCG-YFKPBYRVSA-N,-5.4,34546.6
LAYVFLWAVIGDLK-LJQANCHMSA-N,-6.3,26093.9
YDBYJHTYSHBBAU-YFKPBYRVSA-O,-4.1,26749.74
QUBQYFYWUJJAAK-UHFFFAOYSA-N,-4.1,41602.19
XKFZYVWWXHCHIX-UHFFFAOYSA-N,-4.3,28094.12
YAGBSNMZQKEFCO-JTQLQIEISA-N,-4.9,39402.6
WQABCVAJNWAXTE-VKHMYHEASA-N,-3.0,42548.2
JLMHZVYLAQPMOZ-UHFFFAOYSA-N,-3.8,36663.91
YMFGJWGABDOFID-UHFFFAOYSA-N,-5.8,8922.4
DVASNQYQOZHAJN-OAHLLOKOSA-N,-7.0,23737.17
JDLSRXWHEBFHNC-UHFFFAOYSA-N,-6.7,7218.67
RWWYLEGWBNMMLJ-YSOARWBDSA-N,-7.9,47436.1
KWBTZIFLQYYPTH-UHFFFAOYSA-N,-5.8,40269.31
QANMHLXAZMSUEX-UHFFFAOYSA-N,-5.7,18150.42
UIEATEWHFDRYRU-XMMPIXPASA-N,-6.6,48884.05
YGSDEFSMJLZEOE-UHFFFAOYSA-N,-5.2,41763.42
OIRDTQYFTABQOQ-UHTZMRCNSA-N,-6.2,33149.06
OIRDTQYFTABQOQ-KQYNXXCUSA-N,-6.2,33903.78
IMOLVSPMDGCLMB-UHFFFAOYSA-N,-7.0,28332.23
CAMYKONBWHRPDD-UHFFFAOYSA-N,-5.2,44781.31
GDLBFKVLRPITMI-UHFFFAOYSA-N,-5.6,35448.11
ZGXJTSGNIOSYLO-UHFFFAOYSA-N,-4.3,37615.06
BELBBZDIHDAJOR-UHFFFAOYSA-N,-7.3,25552.04
WGFOBBZOWHGYQH-MXHNKVEKSA-N,-6.7,40186.27
OWQUZNMMYNAXSL-UHFFFAOYSA-N,-6.7,35192.97
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,-5.2,20307.59
OYHQOLUKZRVURQ-HZJYTTRNSA-N,-4.9,25949.87
VZCYOOQTPOCHFL-OWOJBTEDSA-N,-4.2,34953.01
LWRDQHOZTAOILO-UHFFFAOYSA-N,-5.5,20411.41
OVTCHWSLKGENKP-UHFFFAOYSA-N,-6.6,30135.51
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,-3.3,41280.11
JBOOHWBSLUXBQW-SDNWHVSQSA-N,-6.2,47414.25
SUHOQUVVVLNYQR-MRVPVSSYSA-N,-4.8,43313.3
NGGMYCMLYOUNGM-CSDLUJIJSA-N,-7.5,39582.06
TZWKUQDQKPYNLL-UHFFFAOYSA-N,-5.5,12204.09
MDNWOSOZYLHTCG-UHFFFAOYSA-N,-6.5,42676.84
YVWGMAFXEJHFRO-UHFFFAOYSA-N,-4.3,30674.2
DCXYFEDJOCDNAF-REOHCLBHSA-N,-4.3,38742.25
WTDGMHYYGNJEKQ-ZETCQYMHSA-N,-5.0,18288.13
DLEGDLSLRSOURQ-UHFFFAOYSA-N,-3.9,44031.63
QRJOQYLXZPQQMX-FWROMSNXSA-N,-7.9,12191.49
SGTNSNPWRIOYBX-MHZLTWQESA-N,-6.8,33522.63
QOIGKGMMAGJZNZ-UHFFFAOYSA-N,-7.3,9002.95
AYXYPKUFHZROOJ-ZETCQYMHSA-N,-4.7,38932.22
