ligand,energy,binding score
FZRNEERXGKQYPH-UHFFFAOYSA-N,-8.1,48576.5
KXRZBTAEDBELFD-UHFFFAOYSA-N,-7.4,57954.5
QXLPXWSKPNOQLE-ZCFIWIBFSA-N,-4.5,78690.88
KWBTZIFLQYYPTH-UHFFFAOYSA-N,-6.8,80169.39
WQABCVAJNWAXTE-VKHMYHEASA-N,-3.1,76059.67
JOWRFSPJFXLGGY-VIFPVBQESA-N,-6.8,47330.46
JDLSRXWHEBFHNC-UHFFFAOYSA-N,-7.7,85222.72
QANMHLXAZMSUEX-UHFFFAOYSA-N,-6.5,70929.68
ZBNBQISDCFIEQC-UHFFFAOYSA-N,-5.2,56092.86
YDBYJHTYSHBBAU-YFKPBYRVSA-O,-4.6,81045.42
RWWYLEGWBNMMLJ-YSOARWBDSA-N,-8.4,59989.11
YAGBSNMZQKEFCO-JTQLQIEISA-N,-5.7,73462.31
XKFZYVWWXHCHIX-UHFFFAOYSA-N,-4.6,77184.79
OIRDTQYFTABQOQ-UHTZMRCNSA-N,-7.3,58155.08
MPDGHEJMBKOTSU-YKLVYJNSSA-N,-9.5,24078.42
YMFGJWGABDOFID-UHFFFAOYSA-N,-6.8,77547.18
QUBQYFYWUJJAAK-UHFFFAOYSA-N,-4.6,78506.86
YGSDEFSMJLZEOE-UHFFFAOYSA-N,-5.8,67950.64
DVASNQYQOZHAJN-OAHLLOKOSA-N,-8.2,83548.96
LAYVFLWAVIGDLK-LJQANCHMSA-N,-6.6,36154.84
UIEATEWHFDRYRU-XMMPIXPASA-N,-6.9,67409.02
NRNCYVBFPDDJNE-ZETCQYMHSA-N,-7.0,104845.06
WZNJWVWKTVETCG-YFKPBYRVSA-N,-6.2,81466.23
JLMHZVYLAQPMOZ-UHFFFAOYSA-N,-3.9,66443.0
ZGXJTSGNIOSYLO-UHFFFAOYSA-N,-4.9,96324.78
OYHQOLUKZRVURQ-HZJYTTRNSA-N,-6.3,52562.52
SGTNSNPWRIOYBX-MHZLTWQESA-N,-7.2,48727.37
OWQUZNMMYNAXSL-UHFFFAOYSA-N,-7.4,45402.43
VZCYOOQTPOCHFL-OWOJBTEDSA-N,-5.1,96876.64
DLEGDLSLRSOURQ-UHFFFAOYSA-N,-4.1,86328.81
GDLBFKVLRPITMI-UHFFFAOYSA-N,-7.5,81166.36
YVWGMAFXEJHFRO-UHFFFAOYSA-N,-4.6,107723.03
WGFOBBZOWHGYQH-MXHNKVEKSA-N,-8.0,48153.11
CAMYKONBWHRPDD-UHFFFAOYSA-N,-6.4,99757.89
DCXYFEDJOCDNAF-REOHCLBHSA-N,-4.9,110273.78
LWRDQHOZTAOILO-UHFFFAOYSA-N,-7.1,43236.55
SUHOQUVVVLNYQR-MRVPVSSYSA-N,-5.1,71922.45
TZWKUQDQKPYNLL-UHFFFAOYSA-N,-6.8,90657.57
NGGMYCMLYOUNGM-CSDLUJIJSA-N,-7.4,43896.02
OVTCHWSLKGENKP-UHFFFAOYSA-N,-7.4,80501.05
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,-5.4,39337.11
OIRDTQYFTABQOQ-KQYNXXCUSA-N,-6.9,55126.49
QRJOQYLXZPQQMX-FWROMSNXSA-N,-8.6,20575.52
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,-4.2,75386.13
WTDGMHYYGNJEKQ-ZETCQYMHSA-N,-5.9,96255.74
IMOLVSPMDGCLMB-UHFFFAOYSA-N,-8.4,92258.71
BELBBZDIHDAJOR-UHFFFAOYSA-N,-7.5,33401.26
MDNWOSOZYLHTCG-UHFFFAOYSA-N,-7.4,59931.03
JBOOHWBSLUXBQW-SDNWHVSQSA-N,-7.8,82288.84
NFDFQCUYFHCNBW-SCGPFSFSSA-N,-7.9,87535.66
FUSNMLFNXJSCDI-UHFFFAOYSA-N,-9.4,71429.4
XWVOEFLBOSSYGM-UHFFFAOYSA-N,-7.1,68821.99
XRCFXMGQEVUZFC-UHFFFAOYSA-N,-8.1,64934.32
JCBQCKFFSPGEDY-OAQYLSRUSA-N,-6.9,33089.28
PHWBOXQYWZNQIN-UHFFFAOYSA-N,-7.5,122988.2
VNQABZCSYCTZMS-UHFFFAOYSA-N,-5.9,88636.65
BNFRJXLZYUTIII-UHFFFAOYSA-N,-8.6,83556.23
WVYADZUPLLSGPU-UHFFFAOYSA-N,-8.3,49982.29
ZEAJXCPGHPJVNP-GFCCVEGCSA-N,-7.1,80318.22
GIKNHHRFLCDOEU-SSDOTTSWSA-N,-5.8,105998.88
AVWWVJUMXRXPNF-UHFFFAOYSA-N,-7.4,85859.98
ZCBJDQBSLZREAA-UHFFFAOYSA-N,-8.5,54789.47
DMIMZHGXWWCGBD-UHFFFAOYSA-N,-5.8,101130.97
DZQVFHSCSRACSX-UHFFFAOYSA-N,-7.7,60816.73
HCYAFALTSJYZDH-UHFFFAOYSA-N,-7.4,73208.33
QHGUCRYDKWKLMG-QMMMGPOBSA-N,-5.9,109463.32
AYXYPKUFHZROOJ-ZETCQYMHSA-N,-5.4,85674.13
IWUCXVSUMQZMFG-AFCXAGJDSA-N,-6.5,64283.13
SYAKTDIEAPMBAL-QMMMGPOBSA-N,-6.1,84871.09
FOIPWTMKYXWFGC-UHFFFAOYSA-N,-5.5,65075.57
QOIGKGMMAGJZNZ-UHFFFAOYSA-N,-8.4,89854.5
SRVJKTDHMYAMHA-UHFFFAOYSA-N,-6.2,91533.54
DFPAKSUCGFBDDF-UHFFFAOYSA-N,-5.1,116069.57
DBHODFSFBXJZNY-UHFFFAOYSA-N,-5.7,95549.36
XSPUSVIQHBDITA-RKYNPMAHSA-N,-8.5,41683.97
CAHKINHBCWCHCF-JTQLQIEISA-N,-7.1,71837.21
NBOMNTLFRHMDEZ-UHFFFAOYSA-N,-5.4,102009.77
DBEPLOCGEIEOCV-WSBQPABSSA-N,-8.9,37104.16
QNQZBKQEIFTHFZ-GOSISDBHSA-N,-7.1,32821.32
DNKPFCQEGBJJTE-UHFFFAOYSA-N,-3.5,111558.47
LSAOZCAKUIANSQ-UHFFFAOYSA-N,-7.3,51516.3
DRMHNJGOEAYOIZ-CYBMUJFWSA-N,-6.5,75097.82
JLKIGFTWXXRPMT-UHFFFAOYSA-N,-7.4,42171.02
KZNICNPSHKQLFF-UHFFFAOYSA-N,-4.5,102939.66
VWLHWLSRQJQWRG-UHFFFAOYSA-O,-6.1,63865.47
NPPQSCRMBWNHMW-UHFFFAOYSA-N,-5.9,71558.75
CVWILQHZFWRYPB-UHFFFAOYSA-N,-5.7,76054.15
QLTVVOATEHFXLT-VIFPVBQESA-N,-6.4,72991.54
WMJPAYUKEVEBCN-UHFFFAOYSA-N,-5.9,97160.54
SBBDHANTMHIRGW-QMMMGPOBSA-N,-5.9,90620.48
ZPAKPRAICRBAOD-UHFFFAOYSA-N,-8.0,71948.54
DVEQCIBLXRSYPH-LLVKDONJSA-N,-7.1,79846.98
QXWYKJLNLSIPIN-JGVFFNPUSA-N,-6.7,115235.52
KBFBRIPYVVGWRS-OAHLLOKOSA-N,-8.0,84620.79
QDIYJDPBMZUZEH-UHFFFAOYSA-O,-7.8,48885.89
RQAITHJHUFFEIV-SNVBAGLBSA-N,-6.4,50017.26
HHRZAEJMHSGZNP-SSDOTTSWSA-N,-5.9,73579.47
VFKZTMPDYBFSTM-KVTDHHQDSA-N,-5.2,69635.53
JCKYGMPEJWAADB-UHFFFAOYSA-N,-6.6,62685.77
YVGGHNCTFXOJCH-UHFFFAOYSA-N,-7.0,50252.37
KDYFGRWQOYBRFD-UHFFFAOYSA-N,-4.8,120025.58
UYUXSRADSPPKRZ-SKNVOMKLSA-N,-5.3,104011.88
OBZHEBDUNPOCJG-WBXJDKIVSA-N,-9.3,30136.78
SUWZHLCNFQWNPE-LATRNWQMSA-N,-7.3,51433.25
IAIWVQXQOWNYOU-FPYGCLRLSA-N,-6.1,64911.69
HTYIXCKSEQQCJO-NSHDSACASA-N,-6.7,108726.76
DZGWFCGJZKJUFP-UHFFFAOYSA-N,-5.5,85669.46
ANTSCNMPPGJYLG-UHFFFAOYSA-N,-8.1,47353.51
YFLRYAVDPKONNX-UHFFFAOYSA-N,-6.3,65613.55
OXNIZHLAWKMVMX-UHFFFAOYSA-N,-6.5,75761.34
LRCXRAABFLIVAI-QMMMGPOBSA-N,-5.7,102761.15
RBTBFTRPCNLSDE-UHFFFAOYSA-N,-7.5,82440.11
DLNKOYKMWOXYQA-APPZFPTMSA-N,-5.8,96625.71
HDGFUOKLIQJQCS-UHFFFAOYSA-O,-7.3,46453.04
VYFYYTLLBUKUHU-UHFFFAOYSA-N,-5.9,47145.01
GCHKUUOPYMFGEY-VMPITWQZSA-N,-6.0,37680.76
LSAMUAYPDHUBQD-OLKPEBQYSA-N,-5.9,84831.93
DB00336,-6.5,67817.57
VYQNWZOUAUKGHI-UHFFFAOYSA-N,-6.8,95792.02
HLIBJQGJVDHCNB-UHFFFAOYSA-N,-7.6,40319.57
UHDGCWIWMRVCDJ-CCXZUQQUSA-N,-6.4,101901.77
