ligand,energy,binding score
XKFZYVWWXHCHIX-UHFFFAOYSA-N,-5.5,30934.01
DVASNQYQOZHAJN-OAHLLOKOSA-N,-8.0,29381.48
RWWYLEGWBNMMLJ-YSOARWBDSA-N,-9.5,36829.57
UIEATEWHFDRYRU-XMMPIXPASA-N,-7.5,42518.95
NRNCYVBFPDDJNE-ZETCQYMHSA-N,-6.9,45945.03
YGSDEFSMJLZEOE-UHFFFAOYSA-N,-6.3,37041.83
JDLSRXWHEBFHNC-UHFFFAOYSA-N,-7.8,15534.13
QUBQYFYWUJJAAK-UHFFFAOYSA-N,-5.8,45025.89
FZRNEERXGKQYPH-UHFFFAOYSA-N,-8.8,35187.11
OIRDTQYFTABQOQ-UHTZMRCNSA-N,-7.9,29107.29
YAGBSNMZQKEFCO-JTQLQIEISA-N,-5.7,40617.43
MPDGHEJMBKOTSU-YKLVYJNSSA-N,-10.5,18979.88
KXRZBTAEDBELFD-UHFFFAOYSA-N,-7.9,30641.03
ZBNBQISDCFIEQC-UHFFFAOYSA-N,-6.3,36774.68
JOWRFSPJFXLGGY-VIFPVBQESA-N,-7.9,34090.88
YMFGJWGABDOFID-UHFFFAOYSA-N,-7.2,17432.75
JLMHZVYLAQPMOZ-UHFFFAOYSA-N,-4.6,44363.58
LAYVFLWAVIGDLK-LJQANCHMSA-N,-8.0,25328.18
YDBYJHTYSHBBAU-YFKPBYRVSA-O,-5.5,29417.77
QANMHLXAZMSUEX-UHFFFAOYSA-N,-7.7,21651.28
WZNJWVWKTVETCG-YFKPBYRVSA-N,-6.9,36503.33
WQABCVAJNWAXTE-VKHMYHEASA-N,-3.5,40291.48
KWBTZIFLQYYPTH-UHFFFAOYSA-N,-6.8,36545.01
QXLPXWSKPNOQLE-ZCFIWIBFSA-N,-4.5,30121.62
NGGMYCMLYOUNGM-CSDLUJIJSA-N,-9.4,35335.45
SUHOQUVVVLNYQR-MRVPVSSYSA-N,-6.0,39846.15
ZGXJTSGNIOSYLO-UHFFFAOYSA-N,-5.1,37080.96
OVTCHWSLKGENKP-UHFFFAOYSA-N,-7.7,33650.34
OIRDTQYFTABQOQ-KQYNXXCUSA-N,-8.3,29673.59
MDNWOSOZYLHTCG-UHFFFAOYSA-N,-7.2,37032.57
OWQUZNMMYNAXSL-UHFFFAOYSA-N,-7.8,32566.11
BELBBZDIHDAJOR-UHFFFAOYSA-N,-9.2,25949.33
SGTNSNPWRIOYBX-MHZLTWQESA-N,-7.9,31412.39
YVWGMAFXEJHFRO-UHFFFAOYSA-N,-4.2,34816.58
TZWKUQDQKPYNLL-UHFFFAOYSA-N,-6.8,21359.81
CAMYKONBWHRPDD-UHFFFAOYSA-N,-6.3,48618.26
VZCYOOQTPOCHFL-OWOJBTEDSA-N,-5.3,34221.64
OYHQOLUKZRVURQ-HZJYTTRNSA-N,-5.7,31874.31
DLEGDLSLRSOURQ-UHFFFAOYSA-N,-4.2,39101.5
WGFOBBZOWHGYQH-MXHNKVEKSA-N,-8.3,33103.6
WTDGMHYYGNJEKQ-ZETCQYMHSA-N,-6.0,30999.48
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,-6.9,23693.66
IMOLVSPMDGCLMB-UHFFFAOYSA-N,-9.2,35512.98
DCXYFEDJOCDNAF-REOHCLBHSA-N,-5.8,35523.83
GDLBFKVLRPITMI-UHFFFAOYSA-N,-7.6,35588.55
LWRDQHOZTAOILO-UHFFFAOYSA-N,-7.2,26229.15
QRJOQYLXZPQQMX-FWROMSNXSA-N,-9.6,17024.51
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,-4.1,40558.77
SYAKTDIEAPMBAL-QMMMGPOBSA-N,-6.4,23969.58
JCBQCKFFSPGEDY-OAQYLSRUSA-N,-9.1,22964.22
VNQABZCSYCTZMS-UHFFFAOYSA-N,-6.3,28948.09
AVWWVJUMXRXPNF-UHFFFAOYSA-N,-7.3,38318.67
QHGUCRYDKWKLMG-QMMMGPOBSA-N,-5.9,27344.62
