ligand,E1,E2,E3
KTGWBBOJAGDSHN-UHFFFAOYSA-N,-6.1,-5.8,-6.6
JGTJANXYSNVLMQ-GOSISDBHSA-N,-6.0,-5.6,-6.7
BMKDZUISNHGIBY-ZETCQYMHSA-N,-6.5,-7.1,-7.5
SPPTWHFVYKCNNK-FQEVSTJZSA-N,-8.5,-8.4,-9.1
RPVGLMKJGQMQSN-UHFFFAOYSA-N,-5.8,-5.8,-6.8
QCTBMLYLENLHLA-UHFFFAOYSA-N,-5.2,-5.6,-6.0
SESFRYSPDFLNCH-UHFFFAOYSA-N,-6.9,-7.1,-7.5
RNLQIBCLLYYYFJ-UHFFFAOYSA-N,-6.0,-6.5,-6.6
OINXXHYENYVYPB-UHFFFAOYSA-N,-5.9,-6.2,-6.4
OJLHWPALWODJPQ-QNWVGRARSA-N,-6.4,-7.4,-7.2
OJCPSBCUMRIPFL-HNNXBMFYSA-N,-5.8,-6.1,-6.2
AURFZBICLPNKBZ-SYBPFIFISA-N,-7.6,-7.6,-8.6
WUFWNWSUSBGBSH-UHFFFAOYSA-N,-5.5,-5.4,-5.4
MIRHIEAGDGUXKL-UHFFFAOYSA-N,-5.9,-5.6,-6.4
UHWVSEOVJBQKBE-UHFFFAOYSA-N,-5.7,-5.4,-6.1
XOXHILFPRYWFOD-UHFFFAOYSA-N,-7.6,-7.6,-7.9
NIVZHWNOUVJHKV-UHFFFAOYSA-N,-5.4,-6.0,-6.2
BMKDZUISNHGIBY-SSDOTTSWSA-N,-6.9,-7.4,-7.2
MTCFGRXMJLQNBG-REOHCLBHSA-N,-4.0,-3.9,-4.1
FDKXTQMXEQVLRF-ZHACJKMWSA-N,-5.4,-5.9,-5.4
ABJKIHHNDMEBNA-UHFFFAOYSA-N,-5.9,-6.3,-6.8
KJVQYDYPDFFJMP-UHFFFAOYSA-N,-6.9,-6.6,-7.5
AAQOQKQBGPPFNS-UHFFFAOYSA-N,-4.9,-4.9,-5.8
NMWQEPCLNXHPDX-UHFFFAOYSA-N,-7.0,-7.3,-7.8
LXBIFEVIBLOUGU-DPYQTVNSSA-N,-5.4,-5.3,-5.1
