ligand,E1,E2,E3
BMKDZUISNHGIBY-ZETCQYMHSA-N,-6.0,-5.9,-4.9
OJCPSBCUMRIPFL-HNNXBMFYSA-N,-4.6,-5.5,-4.3
OINXXHYENYVYPB-UHFFFAOYSA-N,-4.9,-5.3,-4.5
KJVQYDYPDFFJMP-UHFFFAOYSA-N,-5.8,-5.7,-5.7
WUFWNWSUSBGBSH-UHFFFAOYSA-N,-4.4,-5.3,-4.2
MTCFGRXMJLQNBG-REOHCLBHSA-N,-3.6,-3.3,-4.2
FDKXTQMXEQVLRF-ZHACJKMWSA-N,-4.7,-4.6,-4.0
JGTJANXYSNVLMQ-GOSISDBHSA-N,-5.1,-5.4,-4.3
AURFZBICLPNKBZ-SYBPFIFISA-N,-6.8,-7.0,-5.6
QCTBMLYLENLHLA-UHFFFAOYSA-N,-4.7,-5.4,-4.5
LXBIFEVIBLOUGU-DPYQTVNSSA-N,-4.8,-4.1,-4.8
RNLQIBCLLYYYFJ-UHFFFAOYSA-N,-5.3,-6.1,-5.2
RPVGLMKJGQMQSN-UHFFFAOYSA-N,-5.4,-6.0,-4.6
SPPTWHFVYKCNNK-FQEVSTJZSA-N,-7.2,-7.5,-6.6
OJLHWPALWODJPQ-QNWVGRARSA-N,-5.6,-4.9,-5.0
NMWQEPCLNXHPDX-UHFFFAOYSA-N,-6.0,-6.2,-5.4
KTGWBBOJAGDSHN-UHFFFAOYSA-N,-5.1,-4.8,-4.0
BMKDZUISNHGIBY-SSDOTTSWSA-N,-5.9,-5.8,-5.0
SESFRYSPDFLNCH-UHFFFAOYSA-N,-5.1,-6.1,-5.2
NIVZHWNOUVJHKV-UHFFFAOYSA-N,-4.6,-5.5,-4.4
MIRHIEAGDGUXKL-UHFFFAOYSA-N,-4.8,-4.8,-4.4
ABJKIHHNDMEBNA-UHFFFAOYSA-N,-4.7,-5.5,-4.2
XOXHILFPRYWFOD-UHFFFAOYSA-N,-5.9,-6.0,-6.2
UHWVSEOVJBQKBE-UHFFFAOYSA-N,-5.1,-5.9,-4.7
AAQOQKQBGPPFNS-UHFFFAOYSA-N,-4.2,-5.0,-3.7
