ligand,E1,E2,E3
NMWQEPCLNXHPDX-UHFFFAOYSA-N,-6.9,-5.2,-7.2
QCTBMLYLENLHLA-UHFFFAOYSA-N,-5.7,-4.3,-4.8
KTGWBBOJAGDSHN-UHFFFAOYSA-N,-5.9,-4.6,-6.4
UHWVSEOVJBQKBE-UHFFFAOYSA-N,-6.2,-4.3,-5.4
MIRHIEAGDGUXKL-UHFFFAOYSA-N,-5.5,-4.3,-5.6
WUFWNWSUSBGBSH-UHFFFAOYSA-N,-5.1,-4.4,-5.5
RNLQIBCLLYYYFJ-UHFFFAOYSA-N,-6.5,-4.8,-6.0
AURFZBICLPNKBZ-SYBPFIFISA-N,-5.7,-6.2,-6.7
RPVGLMKJGQMQSN-UHFFFAOYSA-N,-5.7,-4.6,-5.9
FDKXTQMXEQVLRF-ZHACJKMWSA-N,-5.7,-4.1,-5.4
OJCPSBCUMRIPFL-HNNXBMFYSA-N,-6.2,-3.9,-5.6
BMKDZUISNHGIBY-SSDOTTSWSA-N,-7.4,-5.2,-6.2
BMKDZUISNHGIBY-ZETCQYMHSA-N,-6.4,-5.1,-6.6
KJVQYDYPDFFJMP-UHFFFAOYSA-N,-6.7,-4.8,-6.0
OJLHWPALWODJPQ-QNWVGRARSA-N,-5.5,-5.8,-6.0
NIVZHWNOUVJHKV-UHFFFAOYSA-N,-6.2,-4.1,-5.9
SPPTWHFVYKCNNK-FQEVSTJZSA-N,-8.6,-7.0,-7.3
XOXHILFPRYWFOD-UHFFFAOYSA-N,-7.2,-5.5,-6.5
SESFRYSPDFLNCH-UHFFFAOYSA-N,-7.0,-4.7,-6.6
OINXXHYENYVYPB-UHFFFAOYSA-N,-6.6,-4.6,-6.0
JGTJANXYSNVLMQ-GOSISDBHSA-N,-6.5,-4.2,-6.1
MTCFGRXMJLQNBG-REOHCLBHSA-N,-4.3,-4.1,-3.7
ABJKIHHNDMEBNA-UHFFFAOYSA-N,-5.3,-4.2,-6.1
AAQOQKQBGPPFNS-UHFFFAOYSA-N,-4.5,-3.5,-4.9
LXBIFEVIBLOUGU-DPYQTVNSSA-N,-5.1,-4.0,-4.8
