ligand,E1,E2,E3
STLZCUYBVPNYED-UHFFFAOYSA-N,-6.4,-5.1,-5.1
SAZUGELZHZOXHB-UHFFFAOYSA-N,-6.6,-5.2,-4.8
PXBVEXGRHZFEOF-QGZVFWFLSA-N,-7.9,-7.3,-6.5
FTCYIGBVOHNHCD-UHFFFAOYSA-N,-4.9,-4.6,-4.0
KJAMZCVTJDTESW-UHFFFAOYSA-N,-8.1,-7.5,-5.6
CREICILGVGNQBH-UHFFFAOYSA-N,-7.6,-5.9,-6.5
XIHXRRMCNSMUET-UHFFFAOYSA-N,-6.5,-5.6,-5.3
BKCXTZWLBPOGRU-XQHKEYJVSA-N,-7.0,-5.9,-6.1
WFPIAZLQTJBIFN-UHFFFAOYSA-N,-8.9,-7.2,-6.2
LCFBCKSQWVQIBY-UYAOXDASSA-N,-7.7,-6.0,-5.7
IQWCBYSUUOFOMF-QTLFRQQHSA-N,-6.4,-4.7,-4.9
WREGKURFCTUGRC-POYBYMJQSA-N,-6.9,-6.3,-5.8
FYJJXENSONZJRG-UHFFFAOYSA-N,-6.5,-5.4,-4.7
OMOMUFTZPTXCHP-UHFFFAOYSA-N,-5.4,-4.4,-4.7
XREUEWVEMYWFFA-CSKJXFQVSA-N,-10.0,-8.1,-7.2
ZXVNMYWKKDOREA-UHFFFAOYSA-N,-7.2,-7.0,-6.1
UBAJTZKNDCEGKL-UHFFFAOYSA-N,-10.1,-8.1,-7.2
NZUPCNDJBJXXRF-LURJTMIESA-O,-4.6,-4.0,-4.9
YAHRDLICUYEDAU-RNFRBKRXSA-N,-4.8,-4.0,-3.8
QPCDCPDFJACHGM-UHFFFAOYSA-N,-5.6,-5.2,-4.9
HFXKQSZZZPGLKQ-MRVPVSSYSA-N,-5.3,-4.3,-4.2
AFSYRVDDZGJTIL-OCAPTIKFSA-N,-4.5,-4.1,-4.2
IBGBGRVKPALMCQ-UHFFFAOYSA-N,-5.8,-5.3,-5.4
