ligand,E1,E2,E3
XIHXRRMCNSMUET-UHFFFAOYSA-N,-6.2,-6.3,-6.5
CREICILGVGNQBH-UHFFFAOYSA-N,-8.0,-7.7,-7.6
YAHRDLICUYEDAU-RNFRBKRXSA-N,-3.8,-4.3,-4.7
STLZCUYBVPNYED-UHFFFAOYSA-N,-5.7,-6.0,-6.3
AFSYRVDDZGJTIL-OCAPTIKFSA-N,-4.4,-4.7,-4.7
UBAJTZKNDCEGKL-UHFFFAOYSA-N,-9.5,-9.5,-9.8
SAZUGELZHZOXHB-UHFFFAOYSA-N,-6.3,-6.3,-6.4
XREUEWVEMYWFFA-CSKJXFQVSA-N,-8.9,-9.2,-10.1
PXBVEXGRHZFEOF-QGZVFWFLSA-N,-7.7,-7.4,-7.9
WREGKURFCTUGRC-POYBYMJQSA-N,-6.0,-6.4,-6.8
NZUPCNDJBJXXRF-LURJTMIESA-O,-4.7,-4.5,-4.7
KJAMZCVTJDTESW-UHFFFAOYSA-N,-7.8,-7.9,-8.4
OMOMUFTZPTXCHP-UHFFFAOYSA-N,-4.9,-4.9,-5.3
IQWCBYSUUOFOMF-QTLFRQQHSA-N,-6.1,-5.7,-5.9
ZXVNMYWKKDOREA-UHFFFAOYSA-N,-7.0,-6.7,-7.5
FYJJXENSONZJRG-UHFFFAOYSA-N,-5.9,-6.2,-6.7
LCFBCKSQWVQIBY-UYAOXDASSA-N,-7.0,-7.0,-8.0
WFPIAZLQTJBIFN-UHFFFAOYSA-N,-7.4,-7.1,-8.5
QPCDCPDFJACHGM-UHFFFAOYSA-N,-5.8,-5.7,-5.9
IBGBGRVKPALMCQ-UHFFFAOYSA-N,-5.5,-5.6,-5.5
BKCXTZWLBPOGRU-XQHKEYJVSA-N,-7.1,-6.7,-7.1
FTCYIGBVOHNHCD-UHFFFAOYSA-N,-5.1,-4.8,-4.9
HFXKQSZZZPGLKQ-MRVPVSSYSA-N,-4.5,-4.8,-5.4
