ligand,E1,E2,E3
SAZUGELZHZOXHB-UHFFFAOYSA-N,-5.6,-5.9,-6.1
WREGKURFCTUGRC-POYBYMJQSA-N,-6.1,-6.9,-6.0
LCFBCKSQWVQIBY-UYAOXDASSA-N,-6.3,-6.2,-7.5
YAHRDLICUYEDAU-RNFRBKRXSA-N,-4.5,-4.6,-4.1
XREUEWVEMYWFFA-CSKJXFQVSA-N,-8.7,-7.5,-8.4
IBGBGRVKPALMCQ-UHFFFAOYSA-N,-5.5,-6.3,-5.2
CREICILGVGNQBH-UHFFFAOYSA-N,-6.0,-7.7,-7.6
NZUPCNDJBJXXRF-LURJTMIESA-O,-4.3,-4.8,-4.1
XIHXRRMCNSMUET-UHFFFAOYSA-N,-6.5,-7.1,-6.5
ZXVNMYWKKDOREA-UHFFFAOYSA-N,-6.9,-7.1,-7.2
STLZCUYBVPNYED-UHFFFAOYSA-N,-5.6,-5.8,-6.2
PXBVEXGRHZFEOF-QGZVFWFLSA-N,-7.7,-6.3,-6.9
HFXKQSZZZPGLKQ-MRVPVSSYSA-N,-5.1,-5.3,-4.9
BKCXTZWLBPOGRU-XQHKEYJVSA-N,-7.1,-6.3,-7.0
FTCYIGBVOHNHCD-UHFFFAOYSA-N,-4.9,-5.4,-4.3
UBAJTZKNDCEGKL-UHFFFAOYSA-N,-7.9,-8.5,-8.9
AFSYRVDDZGJTIL-OCAPTIKFSA-N,-4.7,-5.6,-4.1
OMOMUFTZPTXCHP-UHFFFAOYSA-N,-4.8,-5.2,-4.7
FYJJXENSONZJRG-UHFFFAOYSA-N,-6.8,-5.8,-6.4
IQWCBYSUUOFOMF-QTLFRQQHSA-N,-5.2,-4.8,-5.5
WFPIAZLQTJBIFN-UHFFFAOYSA-N,-7.9,-7.3,-7.9
KJAMZCVTJDTESW-UHFFFAOYSA-N,-6.7,-7.1,-6.5
QPCDCPDFJACHGM-UHFFFAOYSA-N,-5.7,-5.6,-6.1
