ligand,E1,E2,E3
WREGKURFCTUGRC-POYBYMJQSA-N,-6.4,-7.2,-6.0
KJAMZCVTJDTESW-UHFFFAOYSA-N,-6.6,-9.3,-6.7
IBGBGRVKPALMCQ-UHFFFAOYSA-N,-5.6,-6.1,-5.3
PXBVEXGRHZFEOF-QGZVFWFLSA-N,-6.2,-9.0,-6.7
FTCYIGBVOHNHCD-UHFFFAOYSA-N,-5.0,-5.5,-4.8
SAZUGELZHZOXHB-UHFFFAOYSA-N,-5.6,-6.3,-5.3
AFSYRVDDZGJTIL-OCAPTIKFSA-N,-5.2,-4.9,-4.4
BKCXTZWLBPOGRU-XQHKEYJVSA-N,-6.2,-8.0,-6.3
STLZCUYBVPNYED-UHFFFAOYSA-N,-6.3,-7.3,-5.7
LCFBCKSQWVQIBY-UYAOXDASSA-N,-7.8,-8.5,-6.9
XIHXRRMCNSMUET-UHFFFAOYSA-N,-7.1,-7.7,-6.4
WFPIAZLQTJBIFN-UHFFFAOYSA-N,-6.7,-9.4,-7.8
YAHRDLICUYEDAU-RNFRBKRXSA-N,-4.6,-4.5,-4.1
HFXKQSZZZPGLKQ-MRVPVSSYSA-N,-5.3,-5.6,-4.2
NZUPCNDJBJXXRF-LURJTMIESA-O,-4.7,-4.6,-4.1
UBAJTZKNDCEGKL-UHFFFAOYSA-N,-7.2,-11.5,-8.3
ZXVNMYWKKDOREA-UHFFFAOYSA-N,-6.5,-8.0,-6.8
FYJJXENSONZJRG-UHFFFAOYSA-N,-7.0,-8.3,-5.4
CREICILGVGNQBH-UHFFFAOYSA-N,-5.8,-7.5,-7.3
IQWCBYSUUOFOMF-QTLFRQQHSA-N,-5.5,-6.2,-5.2
XREUEWVEMYWFFA-CSKJXFQVSA-N,-8.0,-11.2,-7.6
OMOMUFTZPTXCHP-UHFFFAOYSA-N,-5.5,-5.3,-4.2
QPCDCPDFJACHGM-UHFFFAOYSA-N,-6.6,-6.9,-5.5
